,model,catchment,scenario,Date,value
0,e_hype,fierz,REF,1981-01-01,248.9832000732422
1,e_hype,fierz,REF,1981-02-01,234.05979919433597
2,e_hype,fierz,REF,1981-03-01,220.7458038330078
3,e_hype,fierz,REF,1981-04-01,210.77540588378903
4,e_hype,fierz,REF,1981-05-01,206.75559997558597
5,e_hype,fierz,REF,1981-06-01,208.9929962158203
6,e_hype,fierz,REF,1981-07-01,214.31610107421875
7,e_hype,fierz,REF,1981-08-01,216.64979553222656
8,e_hype,fierz,REF,1981-09-01,215.00570678710935
9,e_hype,fierz,REF,1981-10-01,210.19140625
10,e_hype,fierz,REF,1981-11-01,203.2926025390625
11,e_hype,fierz,REF,1981-12-01,195.42669677734372
12,e_hype,fierz,REF,1981-01-13,189.76370239257807
13,e_hype,fierz,REF,1981-01-14,189.22219848632807
14,e_hype,fierz,REF,1981-01-15,194.95159912109372
15,e_hype,fierz,REF,1981-01-16,206.53160095214844
16,e_hype,fierz,REF,1981-01-17,212.04409790039065
17,e_hype,fierz,REF,1981-01-18,215.7061004638672
18,e_hype,fierz,REF,1981-01-19,214.7373962402344
19,e_hype,fierz,REF,1981-01-20,210.62759399414065
20,e_hype,fierz,REF,1981-01-21,204.22869873046875
21,e_hype,fierz,REF,1981-01-22,196.71929931640625
22,e_hype,fierz,REF,1981-01-23,188.5485992431641
23,e_hype,fierz,REF,1981-01-24,180.43589782714844
24,e_hype,fierz,REF,1981-01-25,172.6063995361328
25,e_hype,fierz,REF,1981-01-26,165.24220275878906
26,e_hype,fierz,REF,1981-01-27,158.27490234375
27,e_hype,fierz,REF,1981-01-28,151.7720947265625
28,e_hype,fierz,REF,1981-01-29,145.81129455566406
29,e_hype,fierz,REF,1981-01-30,140.1721954345703
30,e_hype,fierz,REF,1981-01-31,140.06570434570312
31,e_hype,fierz,REF,1981-01-02,140.06570434570312
32,e_hype,fierz,REF,1981-02-02,140.06570434570312
33,e_hype,fierz,REF,1981-03-02,140.06570434570312
34,e_hype,fierz,REF,1981-04-02,140.06570434570312
35,e_hype,fierz,REF,1981-05-02,140.06570434570312
36,e_hype,fierz,REF,1981-06-02,170.7021026611328
37,e_hype,fierz,REF,1981-07-02,204.654296875
38,e_hype,fierz,REF,1981-08-02,224.8563995361328
39,e_hype,fierz,REF,1981-09-02,233.91180419921875
40,e_hype,fierz,REF,1981-10-02,237.26710510253903
41,e_hype,fierz,REF,1981-11-02,238.30230712890625
42,e_hype,fierz,REF,1981-12-02,253.37350463867188
43,e_hype,fierz,REF,1981-02-13,281.08221435546875
44,e_hype,fierz,REF,1981-02-14,311.0743103027344
45,e_hype,fierz,REF,1981-02-15,333.16290283203125
46,e_hype,fierz,REF,1981-02-16,341.62799072265625
47,e_hype,fierz,REF,1981-02-17,337.3965148925781
48,e_hype,fierz,REF,1981-02-18,324.385986328125
49,e_hype,fierz,REF,1981-02-19,306.7309875488281
50,e_hype,fierz,REF,1981-02-20,288.0085144042969
51,e_hype,fierz,REF,1981-02-21,276.59149169921875
52,e_hype,fierz,REF,1981-02-22,270.826904296875
53,e_hype,fierz,REF,1981-02-23,272.5086975097656
54,e_hype,fierz,REF,1981-02-24,276.2593078613281
55,e_hype,fierz,REF,1981-02-25,277.1346130371094
56,e_hype,fierz,REF,1981-02-26,274.8775939941406
57,e_hype,fierz,REF,1981-02-27,268.04669189453125
58,e_hype,fierz,REF,1981-02-28,258.335693359375
59,e_hype,fierz,REF,1981-01-03,246.6363983154297
60,e_hype,fierz,REF,1981-02-03,235.3856964111328
61,e_hype,fierz,REF,1981-03-03,246.9076995849609
62,e_hype,fierz,REF,1981-04-03,301.7567138671875
63,e_hype,fierz,REF,1981-05-03,378.2702941894531
64,e_hype,fierz,REF,1981-06-03,436.7874145507813
65,e_hype,fierz,REF,1981-07-03,463.4826049804688
66,e_hype,fierz,REF,1981-08-03,463.4277038574219
67,e_hype,fierz,REF,1981-09-03,448.0061950683594
68,e_hype,fierz,REF,1981-10-03,428.8713073730469
69,e_hype,fierz,REF,1981-11-03,414.77978515625
70,e_hype,fierz,REF,1981-12-03,408.0151977539063
71,e_hype,fierz,REF,1981-03-13,411.37200927734375
72,e_hype,fierz,REF,1981-03-14,432.5696105957031
73,e_hype,fierz,REF,1981-03-15,463.5755920410156
74,e_hype,fierz,REF,1981-03-16,491.9233093261719
75,e_hype,fierz,REF,1981-03-17,508.3424072265625
76,e_hype,fierz,REF,1981-03-18,522.6082763671875
77,e_hype,fierz,REF,1981-03-19,581.3839111328125
78,e_hype,fierz,REF,1981-03-20,655.6171264648438
79,e_hype,fierz,REF,1981-03-21,693.4722900390625
80,e_hype,fierz,REF,1981-03-22,684.627197265625
81,e_hype,fierz,REF,1981-03-23,649.27978515625
82,e_hype,fierz,REF,1981-03-24,606.16357421875
83,e_hype,fierz,REF,1981-03-25,565.4625244140625
84,e_hype,fierz,REF,1981-03-26,534.0374145507812
85,e_hype,fierz,REF,1981-03-27,513.3546142578125
86,e_hype,fierz,REF,1981-03-28,498.8338012695313
87,e_hype,fierz,REF,1981-03-29,486.0909118652344
88,e_hype,fierz,REF,1981-03-30,473.9884033203125
