,model,catchment,scenario,Date,value
0,e_hype,globo,REF,1981-01-01,35.41730118
1,e_hype,globo,REF,1981-02-01,34.20980072
2,e_hype,globo,REF,1981-03-01,33.20100021
3,e_hype,globo,REF,1981-04-01,32.02389908
4,e_hype,globo,REF,1981-05-01,35.8166008
5,e_hype,globo,REF,1981-06-01,40.78300095
6,e_hype,globo,REF,1981-07-01,41.78490067
7,e_hype,globo,REF,1981-08-01,40.10979843
8,e_hype,globo,REF,1981-09-01,37.94219971
9,e_hype,globo,REF,1981-10-01,35.91460037
10,e_hype,globo,REF,1981-11-01,34.14609909
11,e_hype,globo,REF,1981-12-01,32.61349869
12,e_hype,globo,REF,1981-01-13,31.35490036
13,e_hype,globo,REF,1981-01-14,31.96719933
14,e_hype,globo,REF,1981-01-15,35.34220123
15,e_hype,globo,REF,1981-01-16,38.53350067
16,e_hype,globo,REF,1981-01-17,42.67630005
17,e_hype,globo,REF,1981-01-18,44.83349991
18,e_hype,globo,REF,1981-01-19,43.34170151
19,e_hype,globo,REF,1981-01-20,40.86500168
20,e_hype,globo,REF,1981-01-21,38.60200119
21,e_hype,globo,REF,1981-01-22,36.53820038
22,e_hype,globo,REF,1981-01-23,34.73419952
23,e_hype,globo,REF,1981-01-24,33.25839996
24,e_hype,globo,REF,1981-01-25,32.07649994
25,e_hype,globo,REF,1981-01-26,31.03580093
26,e_hype,globo,REF,1981-01-27,30.11919975
27,e_hype,globo,REF,1981-01-28,29.2791996
28,e_hype,globo,REF,1981-01-29,28.53450012
29,e_hype,globo,REF,1981-01-30,27.81360054
30,e_hype,globo,REF,1981-01-31,27.12479973
31,e_hype,globo,REF,1981-01-02,26.46999931
32,e_hype,globo,REF,1981-02-02,25.83670044
33,e_hype,globo,REF,1981-03-02,25.57060051
34,e_hype,globo,REF,1981-04-02,25.4673996
35,e_hype,globo,REF,1981-05-02,37.83509827
36,e_hype,globo,REF,1981-06-02,48.82369995
37,e_hype,globo,REF,1981-07-02,47.62620163
38,e_hype,globo,REF,1981-08-02,43.83359909
39,e_hype,globo,REF,1981-09-02,40.55979919
40,e_hype,globo,REF,1981-10-02,40.44070053
41,e_hype,globo,REF,1981-11-02,41.52659988
42,e_hype,globo,REF,1981-12-02,45.03609848
43,e_hype,globo,REF,1981-02-13,54.78350067
44,e_hype,globo,REF,1981-02-14,66.66110229
45,e_hype,globo,REF,1981-02-15,68.89009857
46,e_hype,globo,REF,1981-02-16,64.3443985
47,e_hype,globo,REF,1981-02-17,57.94869995
48,e_hype,globo,REF,1981-02-18,52.0265007
49,e_hype,globo,REF,1981-02-19,47.64920044
50,e_hype,globo,REF,1981-02-20,44.56890106
51,e_hype,globo,REF,1981-02-21,50.03630066
52,e_hype,globo,REF,1981-02-22,55.53960037
53,e_hype,globo,REF,1981-02-23,59.82960129
54,e_hype,globo,REF,1981-02-24,61.58459854
55,e_hype,globo,REF,1981-02-25,59.6637001
56,e_hype,globo,REF,1981-02-26,57.83710098
57,e_hype,globo,REF,1981-02-27,54.96239853
58,e_hype,globo,REF,1981-02-28,51.71920013
59,e_hype,globo,REF,1981-01-03,48.62639999
60,e_hype,globo,REF,1981-02-03,45.97480011
61,e_hype,globo,REF,1981-03-03,52.8783989
62,e_hype,globo,REF,1981-04-03,70.20980072
63,e_hype,globo,REF,1981-05-03,79.54109955
64,e_hype,globo,REF,1981-06-03,81.50140381
65,e_hype,globo,REF,1981-07-03,78.88809967
66,e_hype,globo,REF,1981-08-03,73.05979919
67,e_hype,globo,REF,1981-09-03,66.09799957
68,e_hype,globo,REF,1981-10-03,59.50719833
69,e_hype,globo,REF,1981-11-03,54.21450043
70,e_hype,globo,REF,1981-12-03,50.11800003
71,e_hype,globo,REF,1981-03-13,47.04779816
72,e_hype,globo,REF,1981-03-14,45.27069855
73,e_hype,globo,REF,1981-03-15,45.67789841
74,e_hype,globo,REF,1981-03-16,46.12310028
75,e_hype,globo,REF,1981-03-17,45.95589828
76,e_hype,globo,REF,1981-03-18,45.26179886
77,e_hype,globo,REF,1981-03-19,77.40229797
78,e_hype,globo,REF,1981-03-20,95.63439941
79,e_hype,globo,REF,1981-03-21,87.57389832
80,e_hype,globo,REF,1981-03-22,77.4240036
81,e_hype,globo,REF,1981-03-23,68.40039825
82,e_hype,globo,REF,1981-03-24,61.520401
83,e_hype,globo,REF,1981-03-25,56.36109924
84,e_hype,globo,REF,1981-03-26,52.19129944
85,e_hype,globo,REF,1981-03-27,48.58810043
86,e_hype,globo,REF,1981-03-28,45.6108017
87,e_hype,globo,REF,1981-03-29,42.9681015
88,e_hype,globo,REF,1981-03-30,40.59899902
89,e_hype,globo,REF,1981-03-31,38.58499908
90,e_hype,globo,REF,1981-01-04,36.99739838
91,e_hype,globo,REF,1981-02-04,35.72180176
92,e_hype,globo,REF,1981-03-04,34.81420135
93,e_hype,globo,REF,1981-04-04,34.22389984
94,e_hype,globo,REF,1981-05-04,33.67539978
95,e_hype,globo,REF,1981-06-04,32.8885994
96,e_hype,globo,REF,1981-07-04,31.96299934
97,e_hype,globo,REF,1981-08-04,30.99690056
98,e_hype,globo,REF,1981-09-04,30.0496006
99,e_hype,globo,REF,1981-10-04,29.27169991
100,e_hype,globo,REF,1981-11-04,28.81570053
101,e_hype,globo,REF,1981-12-04,29.24950027
102,e_hype,globo,REF,1981-04-13,30.53730011
103,e_hype,globo,REF,1981-04-14,31.05179977
104,e_hype,globo,REF,1981-04-15,30.46080017
105,e_hype,globo,REF,1981-04-16,29.55109978
106,e_hype,globo,REF,1981-04-17,28.8397007
107,e_hype,globo,REF,1981-04-18,28.2730999
108,e_hype,globo,REF,1981-04-19,28.05699921
109,e_hype,globo,REF,1981-04-20,28.11669922
110,e_hype,globo,REF,1981-04-21,28.0904007
111,e_hype,globo,REF,1981-04-22,27.62619972
112,e_hype,globo,REF,1981-04-23,26.88369942
113,e_hype,globo,REF,1981-04-24,26.03639984
114,e_hype,globo,REF,1981-04-25,25.28549957
115,e_hype,globo,REF,1981-04-26,24.63540077
116,e_hype,globo,REF,1981-04-27,24.42609978
117,e_hype,globo,REF,1981-04-28,24.70249939
118,e_hype,globo,REF,1981-04-29,24.91810036
119,e_hype,globo,REF,1981-04-30,24.65110016
120,e_hype,globo,REF,1981-01-05,24.10219955
121,e_hype,globo,REF,1981-02-05,23.67620087
122,e_hype,globo,REF,1981-03-05,23.4817009
123,e_hype,globo,REF,1981-04-05,23.49419975
124,e_hype,globo,REF,1981-05-05,29.9048996
125,e_hype,globo,REF,1981-06-05,33.1833992
126,e_hype,globo,REF,1981-07-05,31.25429916
127,e_hype,globo,REF,1981-08-05,28.94980049
128,e_hype,globo,REF,1981-09-05,27.17700005
129,e_hype,globo,REF,1981-10-05,25.76679993
130,e_hype,globo,REF,1981-11-05,24.64019966
131,e_hype,globo,REF,1981-12-05,23.89920044
132,e_hype,globo,REF,1981-05-13,23.70949936
133,e_hype,globo,REF,1981-05-14,23.83359909
134,e_hype,globo,REF,1981-05-15,23.76259995
135,e_hype,globo,REF,1981-05-16,23.46750069
136,e_hype,globo,REF,1981-05-17,23.08480072
137,e_hype,globo,REF,1981-05-18,22.59620094
138,e_hype,globo,REF,1981-05-19,21.89249992
139,e_hype,globo,REF,1981-05-20,21.08460045
140,e_hype,globo,REF,1981-05-21,20.33909988
