,model,catchment,scenario,Date,value
0,e_hype,ohrid,REF,1981-01-01,13.09119987487793
1,e_hype,ohrid,REF,1981-02-01,13.113499641418455
2,e_hype,ohrid,REF,1981-03-01,13.122300148010254
3,e_hype,ohrid,REF,1981-04-01,13.155699729919434
4,e_hype,ohrid,REF,1981-05-01,13.479900360107422
5,e_hype,ohrid,REF,1981-06-01,13.539899826049805
6,e_hype,ohrid,REF,1981-07-01,13.624500274658203
7,e_hype,ohrid,REF,1981-08-01,13.687999725341797
8,e_hype,ohrid,REF,1981-09-01,13.72480010986328
9,e_hype,ohrid,REF,1981-10-01,13.747300148010254
10,e_hype,ohrid,REF,1981-11-01,13.746600151062012
11,e_hype,ohrid,REF,1981-12-01,13.732099533081056
12,e_hype,ohrid,REF,1981-01-13,13.816900253295898
13,e_hype,ohrid,REF,1981-01-14,14.113800048828123
14,e_hype,ohrid,REF,1981-01-15,14.21969985961914
15,e_hype,ohrid,REF,1981-01-16,14.68589973449707
16,e_hype,ohrid,REF,1981-01-17,14.825400352478027
17,e_hype,ohrid,REF,1981-01-18,15.14330005645752
18,e_hype,ohrid,REF,1981-01-19,15.27560043334961
19,e_hype,ohrid,REF,1981-01-20,15.350000381469728
20,e_hype,ohrid,REF,1981-01-21,15.456299781799316
21,e_hype,ohrid,REF,1981-01-22,15.468600273132324
22,e_hype,ohrid,REF,1981-01-23,15.458200454711914
23,e_hype,ohrid,REF,1981-01-24,15.455100059509276
24,e_hype,ohrid,REF,1981-01-25,15.460599899291992
25,e_hype,ohrid,REF,1981-01-26,15.43910026550293
26,e_hype,ohrid,REF,1981-01-27,15.416399955749512
27,e_hype,ohrid,REF,1981-01-28,15.38539981842041
28,e_hype,ohrid,REF,1981-01-29,15.375100135803224
29,e_hype,ohrid,REF,1981-01-30,15.33590030670166
30,e_hype,ohrid,REF,1981-01-31,15.27239990234375
31,e_hype,ohrid,REF,1981-01-02,15.198200225830078
32,e_hype,ohrid,REF,1981-02-02,15.114800453186035
33,e_hype,ohrid,REF,1981-03-02,15.039999961853027
34,e_hype,ohrid,REF,1981-04-02,15.026700019836426
35,e_hype,ohrid,REF,1981-05-02,15.679100036621094
