scenario,catchment,week,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP26,ALCWTCT3DD,1,0.235,0.262,0.303,0.033,0.214,0.213,0.277,0.319,0.548,0.416,0.069,0.209,0.255,0.369,0.177,0.449,0.2,0.359,0.475,0.806,0.477,0.2,0.001,0.156,0.18,0.557,0.583,0.879,0.363,0.011,0.595,0.134,0.901,0.509,0.064,0.265
RCP26,ALCWTCT3DD,2,0.319,0.283,0.279,0.277,0.001,0.187,0.289,0.067,0.663,0.296,0.433,0.538,0.444,0.631,0.681,0.148,0.218,0.122,0.194,0.722,0.357,0.145,0.368,0.268,0.237,0.487,0.335,0.601,0.225,0.175,0.247,0.162,0.317,0.484,0.001,0.228
RCP26,ALCWTCT3DD,3,0.287,0.29,0.303,0.4,0.331,0.305,0.053,0.608,0.415,0.446,0.663,0.45,0.357,0.468,0.545,0.016,0.267,0.001,0.129,0.149,0.302,0.216,0.806,0.001,0.161,0.474,0.083,0.511,0.001,0.273,0.586,0.012,0.708,0.324,0.283,0.367
RCP26,ALCWTCT3DD,4,0.216,0.1,0.29,0.335,0.627,0.233,0.132,0.339,0.355,0.535,0.51,0.427,0.351,0.276,0.407,0.877,0.252,0.001,0.001,0.377,0.188,0.292,0.562,0.847,0.199,0.464,0.382,0.052,0.267,0.109,0.651,0.128,0.573,0.25,0.197,0.482
RCP26,ALCWTCT3DD,5,0.026,0.488,0.236,0.001,0.426,0.149,0.185,0.118,0.741,0.062,0.368,0.49,0.36,0.498,0.384,0.584,0.197,0.087,0.255,0.583,0.132,0.149,0.063,0.521,0.22,0.249,0.6,0.001,0.308,0.043,0.307,0.223,0.328,0.23,0.402,0.061
RCP26,ALCWTCT3DD,6,0.001,0.451,0.122,0.099,0.363,0.001,0.127,0.348,0.591,0.656,0.33,0.222,0.229,0.512,0.244,0.284,0.131,0.43,0.141,0.548,0.246,0.234,0.001,0.25,0.31,0.257,0.893,0.696,0.187,0.001,0.104,0.295,0.316,0.001,0.001,0.001
RCP26,ALCWTCT3DD,7,0.074,0.365,0.006,0.375,0.21,0.633,0.108,0.3,0.357,0.514,0.177,0.252,0.335,0.373,0.055,0.311,0.116,0.303,0.322,0.095,0.375,0.33,0.769,0.82,0.321,0.162,0.44,0.584,0.191,0.144,0.073,0.272,0.416,0.001,0.258,0.434
RCP26,ALCWTCT3DD,8,0.258,0.279,0.624,0.001,0.001,0.524,0.22,0.043,0.101,0.43,0.202,0.445,0.001,0.142,0.103,0.198,0.204,0.278,0.356,0.275,0.129,0.115,0.731,0.137,0.282,0.27,0.354,0.37,0.011,0.063,0.518,0.239,0.358,0.533,0.498,0.518
RCP26,ALCWTCT3DD,9,0.417,0.376,0.324,0.319,0.254,0.262,0.025,0.558,0.187,0.218,0.24,0.059,0.189,0.127,0.321,0.266,0.062,0.001,0.328,0.286,0.251,0.097,0.645,0.731,0.256,0.311,0.29,0.12,0.001,0.421,0.44,0.242,0.422,0.539,0.001,0.001
RCP26,ALCWTCT3DD,10,0.326,0.368,0.392,0.432,0.323,0.27,0.077,0.299,0.14,0.001,0.215,0.001,0.192,0.271,0.46,0.376,0.211,0.397,0.164,0.001,0.047,0.223,0.505,0.525,0.188,0.222,0.3,0.171,0.332,0.529,0.127,0.001,0.136,0.445,1.34,0.186
