scenario,catchment,week,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP26,ALCWTRS1DD,1,0.508,0.639,0.525,0.728,0.56,0.458,0.453,0.673,0.903,0.342,0.549,0.681,0.401,0.695,0.91,0.623,0.459,0.393,0.362,1.048,0.613,0.41,0.761,0.559,0.453,0.453,0.627,0.981,0.363,0.251,0.605,0.512,1.152,0.628,0.572,0.453
RCP26,ALCWTRS1DD,2,0.439,0.617,0.491,0.719,0.862,0.453,0.403,0.932,0.696,0.457,0.453,0.722,0.365,0.749,0.862,0.716,0.475,0.375,0.34,0.761,0.547,0.318,1.336,0.63,0.453,0.538,0.426,0.916,0.363,0.225,0.819,0.472,1.212,0.547,0.71,0.453
RCP26,ALCWTRS1DD,3,0.378,0.709,0.542,0.685,1.111,0.458,0.44,0.775,0.62,0.802,0.453,0.581,0.357,0.826,0.709,1.398,0.469,0.472,0.348,0.798,0.48,0.321,0.869,1.157,0.453,0.593,0.566,0.656,0.467,0.147,0.921,0.56,1.097,0.462,0.657,0.453
RCP26,ALCWTRS1DD,4,0.331,0.809,0.486,0.567,0.804,0.483,0.453,0.668,0.764,0.795,0.453,0.524,0.453,0.899,0.649,1.152,0.463,0.573,0.408,1.061,0.466,0.312,0.594,1.104,0.453,0.426,0.799,0.672,0.438,0.142,0.62,0.609,0.831,0.453,0.699,0.453
RCP26,ALCWTRS1DD,5,0.326,0.735,0.469,0.69,0.628,0.504,0.453,0.762,0.789,0.978,0.453,0.48,0.453,0.911,0.59,0.8,0.453,0.85,0.403,0.878,0.535,0.33,0.586,0.744,0.453,0.485,0.712,1.058,0.338,0.126,0.516,0.578,0.724,0.453,0.65,0.556
RCP26,ALCWTRS1DD,6,0.469,0.555,0.571,0.908,0.515,1.024,0.453,0.908,0.639,0.783,0.453,0.557,0.447,0.688,0.549,0.828,0.453,0.647,0.426,0.664,0.517,0.344,1.041,1.385,0.453,0.528,0.659,0.972,0.305,0.242,0.673,0.505,0.732,0.473,0.971,0.77
RCP26,ALCWTRS1DD,7,0.514,0.472,0.875,0.862,0.508,0.921,0.453,0.825,0.541,0.563,0.453,0.659,0.344,0.534,0.6,0.837,0.453,0.492,0.409,0.678,0.491,0.323,1.147,1.18,0.453,0.564,0.611,0.655,0.304,0.315,0.957,0.466,0.877,1.014,1.23,0.744
RCP26,ALCWTRS1DD,8,0.618,0.453,0.743,0.97,0.68,0.702,0.413,1.088,0.607,0.417,0.453,0.624,0.434,0.507,0.691,0.874,0.454,0.413,0.374,0.648,0.607,0.368,0.845,1.183,0.453,0.547,0.677,0.514,0.4,0.389,0.73,0.492,1.001,1.3,1.123,0.631
RCP26,ALCWTRS1DD,9,0.585,0.469,0.717,1.131,0.758,0.626,0.437,1.252,0.576,0.365,0.453,0.761,0.453,0.532,0.7,0.996,0.628,0.581,0.35,0.579,0.769,0.379,0.692,1.574,0.453,0.464,0.748,0.505,0.529,0.453,0.606,0.609,0.856,1.216,1.816,0.865
RCP26,ALCWTRS1DD,10,0.504,0.465,0.586,1.071,0.722,0.815,0.453,1.189,0.583,0.475,0.453,1.303,0.436,0.472,0.55,1.22,0.676,0.63,0.333,0.741,1.153,0.335,0.601,1.287,0.453,0.559,0.785,0.467,0.519,0.453,0.622,0.989,1.058,0.995,1.323,1.439
RCP26,ALCWTRS1DD,11,0.481,0.539,0.493,1.044,0.953,0.731,0.453,1.354,0.56,0.648,0.453,1.205,0.453,0.453,0.462,1.088,0.84,0.502,0.696,0.675,1.476,0.426,0.559,1.035,0.453,0.508,0.719,0.453,0.458,0.454,0.671,1.437,1.208,0.894,0.916,1.535
RCP26,ALCWTRS1DD,12,0.611,0.581,0.506,1.164,1.289,0.693,0.453,1.149,0.531,0.633,0.453,1.141,0.454,0.453,0.453,1.053,0.76,0.403,0.83,0.568,0.859,0.453,0.515,1.029,0.453,0.591,0.713,0.453,0.453,0.503,0.6,1.182,1.113,0.746,0.697,1.145
RCP26,ALCWTRS1DD,13,0.663,0.533,0.555,0.918,1.303,0.731,0.453,0.914,0.534,0.574,0.453,0.888,0.459,0.453,0.453,1.008,0.624,0.546,0.766,0.623,0.663,0.453,0.507,1.201,0.453,0.503,0.644,0.453,0.504,0.501,0.534,0.949,0.757,0.635,0.615,0.795
