scenario,catchment,week,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP45,MKCWTCT2BD,1,0.564,0.621,0.673,0.348,0.593,0.374,0.413,0.57,0.342,0.519,0.568,0.59,0.337,0.916,0.482,0.526,0.521,0.507,0.631,0.655,0.35,0.654,0.516,0.563,0.698,0.814,0.473,0.683,0.637,0.4,0.349,0.336,0.385,0.51,0.429,0.612
RCP45,MKCWTCT2BD,2,0.624,0.434,0.76,0.279,0.695,0.265,0.373,0.367,0.299,0.462,0.377,0.691,0.306,0.977,0.333,0.645,0.968,0.614,0.375,0.685,0.298,0.558,0.43,0.902,0.65,0.937,0.448,0.65,0.689,0.333,0.584,0.376,0.315,0.385,0.33,0.516
RCP45,MKCWTCT2BD,3,0.667,0.559,0.516,0.201,0.71,0.214,0.547,0.452,0.253,0.423,0.367,0.673,0.312,0.833,0.255,0.342,0.767,0.563,0.267,0.37,0.407,0.756,0.472,0.522,0.813,0.886,0.539,0.431,0.455,0.435,0.557,0.311,0.442,0.333,0.331,0.604
RCP45,MKCWTCT2BD,4,0.683,0.452,0.376,0.165,0.58,0.266,0.569,0.569,0.318,0.342,0.382,0.371,0.383,0.687,0.261,0.354,0.698,0.697,0.323,1.015,0.59,0.605,0.531,0.378,0.724,0.487,0.675,0.463,0.368,0.421,0.407,0.474,0.646,0.344,0.271,0.595
RCP45,MKCWTCT2BD,5,0.663,0.486,0.39,0.196,0.547,0.422,0.479,0.314,0.389,0.379,0.533,0.329,0.382,0.479,0.62,0.609,0.505,0.53,0.578,1.096,0.649,0.607,0.381,0.553,0.788,0.383,0.682,0.487,0.413,0.794,0.435,0.363,0.644,0.338,0.222,0.797
RCP45,MKCWTCT2BD,6,0.587,0.509,0.411,0.42,0.721,0.782,0.83,0.505,0.414,0.558,0.458,0.457,0.264,0.431,0.499,0.578,0.562,0.446,0.465,0.65,0.747,0.44,0.483,0.952,0.704,0.453,0.684,0.426,0.269,0.846,0.359,0.532,0.435,0.387,0.193,0.619
RCP45,MKCWTCT2BD,7,0.759,0.515,0.782,0.46,0.873,1.105,0.907,0.563,0.763,0.847,0.389,0.605,0.298,0.596,0.459,0.773,0.53,0.367,0.578,0.665,0.936,0.368,0.428,0.71,0.71,0.56,0.526,0.803,0.321,0.625,0.332,0.586,0.299,0.792,0.248,0.567
RCP45,MKCWTCT2BD,8,0.765,0.529,0.843,0.446,0.552,0.753,0.597,0.477,0.761,0.669,0.378,0.42,0.432,0.606,0.545,0.699,0.476,0.636,0.627,0.541,0.884,0.378,0.517,0.624,0.673,0.633,0.775,0.752,0.702,0.59,0.336,0.536,0.455,0.685,0.731,0.537
RCP45,MKCWTCT2BD,9,0.405,0.493,0.874,0.53,0.878,0.569,0.573,1.069,0.876,0.551,0.556,0.628,0.664,0.894,0.71,0.456,0.435,0.761,0.637,0.512,0.671,0.299,0.664,0.711,0.514,0.462,0.812,1.122,0.603,0.682,0.271,0.496,0.863,0.795,0.85,0.434
RCP45,MKCWTCT2BD,10,0.371,0.394,1.011,0.58,0.677,0.649,0.55,0.961,0.553,0.794,0.549,0.892,0.644,0.867,0.709,0.384,0.683,0.653,0.547,0.613,0.475,0.498,0.344,0.821,0.514,0.545,0.759,0.922,0.725,0.669,0.352,0.483,1.352,0.606,0.695,0.419
RCP45,MKCWTCT2BD,11,0.52,0.368,0.61,0.442,0.746,0.749,0.684,0.845,0.363,0.563,0.56,0.684,0.544,0.84,0.572,0.389,0.806,0.592,0.433,0.332,0.489,0.687,0.376,0.565,0.591,0.582,0.602,0.872,0.616,0.884,0.471,0.577,1.087,0.542,0.475,0.457
RCP45,MKCWTCT2BD,12,0.626,0.533,0.659,0.529,0.718,0.726,0.68,1.048,0.43,0.611,0.412,0.619,0.467,0.976,0.487,0.549,1.269,0.926,0.487,0.469,0.463,0.504,0.678,0.46,0.994,0.728,0.65,0.873,0.659,0.642,0.534,0.398,0.94,0.686,0.476,0.667
RCP45,MKCWTCT2BD,13,0.599,0.618,1.038,0.64,0.638,0.685,0.504,0.676,0.59,0.552,0.367,0.686,0.925,0.888,0.421,0.688,0.997,1.316,0.537,0.356,0.463,0.314,0.537,0.334,0.738,0.54,0.512,0.801,0.462,0.8,0.505,0.619,0.733,0.457,0.4,0.643
RCP45,MKCWTCT2BD,14,0.72,0.51,0.682,0.627,0.465,0.602,0.596,0.634,0.685,0.499,0.344,0.543,0.835,0.895,0.662,0.624,0.735,0.922,0.515,0.34,0.43,0.378,0.532,0.331,0.713,0.425,0.483,0.591,0.46,0.793,0.442,0.635,0.478,0.442,0.587,0.593
RCP45,MKCWTCT2BD,15,0.591,0.45,0.534,0.493,0.318,0.529,0.547,0.47,0.651,0.633,0.536,0.437,0.567,0.874,0.723,0.495,0.729,0.784,0.381,0.412,0.302,0.449,0.488,0.295,0.619,0.361,0.668,0.687,0.364,0.532,0.54,0.444,0.378,0.355,0.487,0.813
RCP45,MKCWTCT2BD,16,0.895,0.38,0.639,0.471,0.454,0.577,0.578,0.483,0.56,0.509,0.536,0.508,0.399,0.584,0.657,0.532,0.881,0.563,0.514,0.272,0.369,0.366,0.482,0.378,0.402,0.399,0.358,0.529,0.236,0.567,0.533,0.344,0.399,0.417,0.423,0.525
RCP45,MKCWTCT2BD,17,0.613,0.56,0.544,0.44,0.59,0.432,0.429,0.446,0.531,0.614,0.356,0.553,0.489,0.498,0.488,0.607,0.526,0.48,0.371,0.257,0.341,0.354,0.472,0.327,0.407,0.435,0.216,0.415,0.178,0.552,0.468,0.526,0.384,0.324,0.44,0.441
RCP45,MKCWTCT2BD,18,0.628,0.441,0.67,0.56,0.337,0.414,0.438,0.518,0.332,0.433,0.268,0.402,0.438,0.311,0.547,0.571,0.876,0.404,0.319,0.314,0.268,0.509,0.322,0.403,0.609,0.39,0.182,0.37,0.217,0.471,0.592,0.516,0.37,0.303,0.677,0.222
RCP45,MKCWTCT2BD,19,0.682,0.399,0.662,0.457,0.256,0.369,0.398,0.377,0.346,0.458,0.288,0.303,0.305,0.259,0.386,0.316,0.645,0.343,0.22,0.218,0.201,0.329,0.288,0.272,0.323,0.446,0.171,0.192,0.186,0.411,0.437,0.315,0.394,0.36,0.489,0.166
RCP45,MKCWTCT2BD,20,0.413,0.272,0.364,0.358,0.182,0.161,0.249,0.339,0.333,0.426,0.336,0.225,0.245,0.232,0.397,0.3,0.274,0.283,0.184,0.164,0.301,0.189,0.332,0.243,0.262,0.299,0.19,0.221,0.131,0.367,0.298,0.271,0.25,0.262,0.353,0.132
RCP45,MKCWTCT2BD,21,0.212,0.18,0.203,0.346,0.153,0.155,0.274,0.222,0.224,0.311,0.254,0.172,0.173,0.137,0.286,0.187,0.171,0.375,0.412,0.127,0.218,0.105,0.283,0.233,0.275,0.206,0.191,0.233,0.097,0.24,0.306,0.453,0.152,0.218,0.278,0.188
