scenario,catchment,week,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP45,XKCWTRS1WD,1,0.747,0.948,0.927,0.394,0.755,0.696,0.702,0.632,0.555,0.589,0.872,0.801,0.746,0.978,0.623,0.742,0.682,0.822,0.697,0.513,0.573,0.724,0.746,0.606,0.741,0.98,0.632,0.962,0.843,0.714,0.468,0.591,0.654,0.72,0.65,0.831
RCP45,XKCWTRS1WD,2,0.674,0.763,1.325,0.358,0.945,0.522,0.628,0.55,0.543,0.471,0.741,0.736,0.749,0.951,0.638,0.741,0.846,1.033,0.598,0.668,0.552,0.864,0.821,0.883,0.831,0.893,0.74,0.953,0.826,0.634,0.6,0.575,0.532,0.647,0.53,0.687
RCP45,XKCWTRS1WD,3,0.731,0.789,1.047,0.342,0.935,0.542,0.782,0.735,0.534,0.464,0.675,0.725,0.671,0.87,0.525,0.542,0.729,0.929,0.516,0.52,0.658,1.092,0.666,0.727,0.819,0.824,0.84,0.766,0.822,0.692,0.732,0.58,0.614,0.616,0.48,0.82
RCP45,XKCWTRS1WD,4,0.745,0.783,0.854,0.379,0.735,0.773,0.967,0.698,0.75,0.409,0.826,0.597,0.583,0.796,0.507,0.598,0.654,0.915,0.54,0.903,0.836,0.858,0.686,0.587,0.953,0.68,0.98,0.974,0.659,0.697,0.583,0.76,0.936,0.577,0.424,0.847
RCP45,XKCWTRS1WD,5,0.74,0.781,0.799,0.446,0.764,0.812,0.862,0.602,0.795,0.537,0.941,0.598,0.645,0.675,0.637,0.749,0.621,0.809,0.746,1.068,0.88,0.979,0.503,0.561,1.198,0.616,0.777,1.003,0.629,0.942,0.633,0.642,0.933,0.559,0.391,1.234
RCP45,XKCWTRS1WD,6,0.714,0.928,0.747,0.556,0.862,0.971,1.111,0.835,0.79,0.673,0.711,0.733,0.622,0.695,0.606,0.834,0.692,0.789,0.69,0.795,0.961,0.84,0.574,0.928,0.911,0.723,0.813,0.83,0.529,1.031,0.566,0.749,0.845,0.613,0.446,1.045
RCP45,XKCWTRS1WD,7,0.893,0.939,1.077,0.544,0.843,1.209,1.043,0.846,0.882,0.821,0.614,0.768,0.628,0.778,0.643,0.933,0.64,0.738,0.77,0.692,0.973,0.703,0.818,0.824,0.817,0.703,0.693,0.998,0.492,0.844,0.654,0.721,0.723,0.942,0.611,0.769
RCP45,XKCWTRS1WD,8,1.061,0.735,1.068,0.527,0.738,1.012,0.781,0.911,0.953,0.786,0.722,0.751,0.664,0.893,0.681,1.042,0.673,0.672,0.767,0.602,0.793,0.656,0.914,0.782,0.926,0.758,0.978,1.029,0.659,0.715,0.769,0.65,1.039,0.859,0.967,0.646
RCP45,XKCWTRS1WD,9,0.691,0.703,1.006,0.564,0.915,0.841,0.725,1.13,0.808,0.734,0.75,0.631,0.688,1.129,0.856,0.699,0.655,0.717,0.663,0.504,0.69,0.499,0.969,0.954,0.761,0.723,1.127,1.556,0.619,0.771,0.624,0.601,1.126,0.86,1.041,0.616
RCP45,XKCWTRS1WD,10,0.709,0.633,1.013,0.58,0.757,0.744,0.678,0.955,0.666,0.699,0.694,0.673,0.822,0.992,0.681,0.767,0.795,0.689,0.632,0.436,0.57,0.652,0.734,0.87,0.834,0.74,0.89,1.052,0.698,0.75,0.53,0.577,1.022,0.652,0.773,0.623
RCP45,XKCWTRS1WD,11,0.753,0.639,0.816,0.516,0.802,0.684,0.759,0.92,0.567,0.584,0.688,0.671,0.74,0.811,0.541,0.776,0.742,0.629,0.649,0.424,0.485,0.572,0.791,0.775,0.757,0.596,0.645,0.901,0.725,0.641,0.618,0.618,0.801,0.573,0.653,0.609
RCP45,XKCWTRS1WD,12,0.78,0.676,0.656,0.474,0.648,0.628,0.699,0.849,0.467,0.571,0.567,0.692,0.825,0.736,0.492,0.81,0.768,0.583,0.578,0.42,0.568,0.563,0.74,0.801,0.661,0.536,0.578,0.839,0.647,0.541,0.53,0.514,0.775,0.521,0.557,0.528
RCP45,XKCWTRS1WD,13,0.693,0.625,0.751,0.428,0.604,0.557,0.599,0.728,0.433,0.577,0.518,0.633,0.917,0.801,0.531,0.757,0.648,0.691,0.572,0.434,0.553,0.467,0.617,0.562,0.565,0.507,0.633,0.9,0.449,0.544,0.53,0.481,0.649,0.417,0.489,0.517
RCP45,XKCWTRS1WD,14,0.638,0.587,0.635,0.371,0.5,0.533,0.496,0.639,0.496,0.663,0.56,0.59,0.718,0.672,0.586,0.579,0.543,0.617,0.688,0.4,0.545,0.396,0.584,0.529,0.751,0.481,0.566,0.669,0.407,0.497,0.491,0.567,0.509,0.38,0.513,0.474
RCP45,XKCWTRS1WD,15,0.466,0.623,0.564,0.341,0.446,0.488,0.49,0.554,0.448,0.572,0.564,0.568,0.63,0.659,0.519,0.455,0.519,0.634,0.509,0.409,0.434,0.375,0.522,0.459,0.729,0.545,0.616,0.821,0.375,0.37,0.468,0.436,0.558,0.331,0.525,0.42
RCP45,XKCWTRS1WD,16,0.494,0.564,0.512,0.432,0.449,0.535,0.448,0.506,0.395,0.455,0.481,0.581,0.517,0.489,0.409,0.395,0.535,0.436,0.458,0.338,0.422,0.364,0.541,0.422,0.627,0.634,0.416,0.663,0.319,0.446,0.495,0.349,0.494,0.314,0.616,0.372
RCP45,XKCWTRS1WD,17,0.516,0.463,0.581,0.339,0.466,0.427,0.407,0.412,0.419,0.387,0.387,0.591,0.528,0.455,0.4,0.345,0.479,0.375,0.388,0.291,0.35,0.368,0.503,0.493,0.48,0.416,0.39,0.462,0.373,0.454,0.387,0.43,0.416,0.309,0.561,0.374
RCP45,XKCWTRS1WD,18,0.442,0.362,0.713,0.388,0.345,0.377,0.416,0.376,0.37,0.333,0.35,0.457,0.453,0.384,0.381,0.336,0.477,0.388,0.33,0.27,0.302,0.484,0.412,0.415,0.428,0.387,0.404,0.413,0.326,0.406,0.407,0.364,0.443,0.32,0.509,0.296
RCP45,XKCWTRS1WD,19,0.471,0.308,0.595,0.31,0.302,0.345,0.334,0.365,0.412,0.309,0.323,0.44,0.339,0.33,0.292,0.285,0.426,0.403,0.304,0.231,0.256,0.342,0.328,0.377,0.351,0.37,0.319,0.317,0.256,0.326,0.362,0.317,0.351,0.301,0.477,0.27
RCP45,XKCWTRS1WD,20,0.363,0.286,0.441,0.269,0.302,0.257,0.297,0.323,0.39,0.297,0.338,0.315,0.298,0.289,0.284,0.285,0.285,0.384,0.255,0.184,0.246,0.252,0.358,0.402,0.323,0.349,0.358,0.3,0.238,0.344,0.305,0.279,0.284,0.261,0.469,0.244
RCP45,XKCWTRS1WD,21,0.293,0.226,0.308,0.239,0.253,0.228,0.324,0.245,0.446,0.236,0.275,0.317,0.245,0.231,0.258,0.235,0.259,0.363,0.197,0.154,0.198,0.216,0.284,0.343,0.28,0.273,0.342,0.284,0.208,0.311,0.385,0.308,0.243,0.228,0.379,0.204
RCP45,XKCWTRS1WD,22,0.332,0.181,0.38,0.22,0.191,0.188,0.234,0.206,0.361,0.227,0.305,0.254,0.253,0.189,0.214,0.268,0.221,0.272,0.212,0.178,0.17,0.221,0.232,0.258,0.205,0.272,0.273,0.26,0.17,0.248,0.301,0.227,0.241,0.192,0.264,0.238
RCP45,XKCWTRS1WD,23,0.312,0.15,0.266,0.207,0.227,0.161,0.191,0.2,0.223,0.238,0.22,0.28,0.222,0.205,0.174,0.287,0.216,0.284,0.162,0.116,0.171,0.165,0.194,0.226,0.183,0.202,0.191,0.285,0.215,0.238,0.23,0.216,0.168,0.203,0.205,0.17
RCP45,XKCWTRS1WD,24,0.344,0.214,0.195,0.18,0.155,0.157,0.144,0.161,0.193,0.274,0.215,0.196,0.19,0.133,0.146,0.17,0.172,0.299,0.119,0.104,0.11,0.16,0.141,0.155,0.15,0.146,0.126,0.267,0.212,0.224,0.191,0.172,0.161,0.243,0.17,0.091
RCP45,XKCWTRS1WD,25,0.243,0.131,0.16,0.145,0.143,0.137,0.254,0.122,0.184,0.232,0.144,0.139,0.136,0.101,0.128,0.201,0.159,0.275,0.1,0.094,0.089,0.117,0.101,0.124,0.15,0.186,0.112,0.172,0.247,0.175,0.161,0.148,0.103,0.264,0.116,0.08
RCP45,XKCWTRS1WD,26,0.25,0.119,0.161,0.098,0.11,0.145,0.158,0.1,0.154,0.16,0.122,0.108,0.135,0.116,0.086,0.144,0.119,0.161,0.102,0.074,0.109,0.084,0.128,0.114,0.192,0.13,0.153,0.175,0.164,0.156,0.222,0.122,0.101,0.211,0.108,0.094
RCP45,XKCWTRS1WD,27,0.207,0.097,0.127,0.065,0.107,0.117,0.148,0.087,0.118,0.132,0.171,0.115,0.113,0.09,0.072,0.103,0.187,0.128,0.069,0.17,0.099,0.098,0.141,0.109,0.134,0.111,0.102,0.188,0.154,0.244,0.169,0.086,0.094,0.118,0.081,0.109
RCP45,XKCWTRS1WD,28,0.17,0.086,0.139,0.073,0.117,0.09,0.176,0.083,0.148,0.092,0.106,0.087,0.09,0.086,0.061,0.089,0.139,0.095,0.113,0.111,0.071,0.086,0.087,0.1,0.12,0.093,0.09,0.129,0.135,0.161,0.106,0.068,0.104,0.099,0.067,0.154
RCP45,XKCWTRS1WD,29,0.17,0.086,0.14,0.12,0.083,0.082,0.115,0.101,0.125,0.125,0.142,0.084,0.102,0.194,0.062,0.067,0.096,0.087,0.141,0.069,0.103,0.075,0.07,0.117,0.095,0.086,0.123,0.156,0.097,0.119,0.085,0.09,0.117,0.103,0.065,0.088
