scenario,catchment,week,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP85,MKCWTCT3DD,1,0.22,0.532,0.318,0.129,0.211,0.242,0.307,0.532,0.688,0.301,0.268,0.623,0.542,0.404,0.597,0.248,0.279,0.492,0.295,0.3,0.27,0.343,0.44,0.338,0.523,0.513,0.59,0.781,1.062,0.242,0.345,0.376,0.305,0.327,0.439,0.465
RCP85,MKCWTCT3DD,2,0.288,0.594,0.626,0.137,0.149,0.251,0.21,0.666,0.534,0.449,0.389,0.443,0.553,0.537,0.469,0.378,0.315,0.302,0.438,0.304,0.205,0.328,0.468,0.431,0.386,0.439,0.353,0.496,0.738,0.659,0.398,0.413,0.276,0.454,0.738,0.269
RCP85,MKCWTCT3DD,3,0.746,0.722,0.866,0.422,0.228,0.255,0.195,0.564,0.405,0.443,0.302,0.276,0.618,0.437,0.457,0.468,0.31,0.225,0.399,0.236,0.24,0.319,0.448,0.35,0.365,0.375,0.275,0.509,0.663,0.551,0.328,0.538,0.357,0.432,0.529,0.299
RCP85,MKCWTCT3DD,4,0.53,0.877,0.365,0.388,0.595,0.269,0.269,0.444,0.476,0.299,0.211,0.282,0.424,0.272,0.29,0.383,0.265,0.218,0.278,0.296,0.256,0.395,0.364,0.357,0.546,0.644,0.308,0.549,0.516,0.75,0.375,0.534,0.524,0.314,0.298,0.403
RCP85,MKCWTCT3DD,5,0.582,0.674,0.315,0.294,0.386,0.413,0.383,0.697,0.753,0.193,0.315,0.301,0.42,0.336,0.422,0.691,0.273,0.221,0.318,0.628,0.326,0.217,0.24,0.328,0.768,0.472,0.542,0.507,0.429,0.459,0.309,0.641,0.375,0.472,0.277,0.502
RCP85,MKCWTCT3DD,6,0.511,0.609,0.605,0.58,0.625,0.608,0.63,0.541,0.492,0.17,0.318,0.291,0.377,0.604,0.465,0.546,0.381,0.214,0.303,0.508,0.196,0.185,0.393,0.413,0.596,0.607,0.705,0.589,0.83,0.522,0.477,0.588,0.485,0.457,0.428,0.505
RCP85,MKCWTCT3DD,7,0.366,0.481,0.728,0.382,0.634,0.598,0.712,0.662,0.368,0.267,0.316,0.23,0.68,0.539,0.269,0.352,0.734,0.234,0.299,0.499,0.296,0.385,0.446,0.39,0.519,0.58,0.703,0.988,1.248,0.775,0.547,0.502,0.28,0.462,0.459,0.442
RCP85,MKCWTCT3DD,8,0.276,0.512,0.71,0.633,0.538,0.354,0.843,0.513,0.475,0.361,0.434,0.396,0.509,0.683,0.286,0.448,0.468,0.281,0.305,0.368,0.474,0.688,0.471,0.403,0.358,0.447,0.633,0.712,0.745,0.784,0.577,0.475,0.331,0.341,0.418,0.456
RCP85,MKCWTCT3DD,9,0.277,0.73,0.825,0.812,0.325,0.529,0.749,0.555,0.354,0.452,0.448,0.346,0.482,0.549,0.256,0.632,0.327,0.531,0.425,0.404,0.707,0.704,0.337,0.41,0.276,0.289,0.569,0.841,0.512,0.619,0.507,0.483,0.5,0.494,0.36,0.42
RCP85,MKCWTCT3DD,10,0.314,0.732,0.614,0.479,0.351,0.541,0.5,0.574,0.51,0.591,0.582,0.505,0.478,0.747,0.232,0.593,0.457,0.422,0.393,0.416,0.792,0.622,0.275,0.453,0.202,0.246,0.571,0.776,0.418,0.359,0.456,0.302,0.508,0.341,0.563,0.592
RCP85,MKCWTCT3DD,11,0.256,0.381,0.557,0.664,0.319,0.466,0.552,0.503,0.535,0.71,0.534,0.552,0.506,0.468,0.249,0.702,0.497,0.503,0.206,0.466,0.905,0.708,0.255,0.367,0.172,0.234,0.552,0.606,0.525,0.442,0.49,0.271,0.425,0.276,0.577,0.685
