scenario,catchment,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP45,ALCWTCT1DD,132.964,15.86,250.64,105.56,108.16,91.312,157.092,250.64,22.308,13.156,19.188,39.936,44.876,2.444,76.336,214.76,52.104,116.532,7.748,5.512,41.496,5.512,97.968,70.408,27.352,69.992,17.004,21.008,7.748,34.684,14.404,36.088,250.64,51.116,232.388,20.592
RCP45,ALCWTCT2DD,187.824,36.348,116.168,97.448,53.092,70.72,240.344,104.26,203.164,97.448,59.592,24.856,52.832,56.732,35.464,28.912,44.512,11.596,90.168,7.488,56.888,8.736,17.316,26.884,200.668,62.816,57.928,115.908,46.124,165.516,220.168,102.492,84.032,39.572,10.4,17.836
RCP45,ALCWTCT3DD,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276,3.276
RCP45,ALCWTRS1DD,2378.896,688.636,786.552,560.56,234.832,224.796,1970.956,650.052,1043.744,1701.492,1400.672,1662.7,749.112,414.232,384.436,310.284,540.488,2376.764,354.016,0.0,426.244,109.72,215.176,112.84,733.304,101.192,264.68,1017.952,109.096,2001.792,1972.412,1577.628,471.692,1642.576,145.028,12.012
RCP45,ALCWTRS2DD,3332.888,858.156,915.356,747.448,287.924,352.82,2543.164,785.148,1385.748,2022.02,1837.004,1922.596,951.86,479.336,491.92,363.272,655.044,2408.9,461.812,56.108,595.452,140.348,274.092,139.724,1041.716,164.008,427.804,1188.044,155.22,2167.308,2323.204,2025.296,624.208,1866.228,179.244,29.848
RCP45,ALCWTRS3DD,4104.62,1205.568,1267.552,1050.4,858.208,628.056,3147.872,1200.472,1814.072,2422.316,2525.016,2405.468,1587.404,857.168,976.092,609.076,1272.492,2786.316,788.372,263.224,1146.912,393.536,413.816,437.632,1299.168,643.084,1052.012,1522.612,444.912,2728.388,2628.912,2512.12,901.368,1965.184,271.908,213.668
RCP45,MKCWTCT1BD,144.04,98.436,103.844,79.404,77.636,79.404,115.336,121.42,99.008,111.228,106.652,88.296,118.716,107.9,95.784,95.784,92.404,106.392,87.984,44.044,77.22,67.184,79.664,77.896,107.068,81.484,72.956,112.372,69.368,125.892,126.776,107.9,106.236,90.324,68.068,54.548
RCP45,MKCWTCT2BD,228.644,102.44,162.032,147.264,121.68,99.58,220.636,227.76,138.268,205.296,211.64,125.788,189.02,133.432,142.688,130.468,145.652,147.524,122.928,70.148,155.116,79.82,96.512,129.948,169.624,99.632,90.376,132.028,93.184,276.9,282.152,174.564,163.904,163.592,92.716,82.576
RCP45,MKCWTCT3DD,119.6,0.052,31.46,0.052,0.052,0.052,50.7,23.244,0.052,34.424,87.1,0.052,9.672,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,153.868,100.568,0.052,1.352,15.6,0.052,0.052
RCP45,MKCWTLK0BD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCP45,MKCWTRS1BD,144.04,98.436,103.844,79.404,77.636,79.404,115.336,121.42,99.008,111.228,106.652,88.296,118.716,107.9,95.784,95.784,92.404,106.392,87.984,44.044,77.22,67.184,79.664,77.896,107.068,81.484,72.956,112.372,69.368,125.892,126.776,107.9,106.236,90.324,68.068,54.548
RCP45,MKCWTRS2BD,372.684,200.876,272.636,226.668,199.316,178.984,335.972,359.58,237.276,316.524,367.9,214.084,320.06,241.332,240.916,226.252,238.056,253.916,210.912,114.192,232.336,150.176,178.204,213.564,280.592,181.116,176.696,244.4,162.552,431.548,416.884,282.464,287.352,253.916,160.784,137.124
RCP45,MKCWTRS3DD,492.284,165.62,336.856,219.284,156.884,111.02,386.672,384.072,212.992,371.644,455.0,187.668,334.568,229.684,233.428,185.9,198.692,198.12,199.732,54.132,226.772,84.448,102.284,136.708,258.492,117.78,142.168,207.584,114.608,615.472,517.452,274.404,288.704,324.428,96.876,47.632
RCP45,XKCWTRS1WD,698.828,497.432,679.276,357.604,383.136,338.364,618.384,520.156,470.652,456.404,400.712,523.276,535.288,466.232,378.144,363.74,397.072,468.936,433.108,250.64,410.176,301.34,342.836,325.52,470.392,335.972,406.796,554.58,339.664,605.8,533.468,406.64,457.756,364.624,368.784,270.244
