,catchment,year,week,value,scenario,model
0,white,2020,1,75.37975,RCP85,e_hype
1,white,2020,2,78.87549999999999,RCP85,e_hype
2,white,2020,3,114.59975,RCP85,e_hype
3,white,2020,4,87.84849999999999,RCP85,e_hype
4,white,2020,5,90.60974999999999,RCP85,e_hype
5,white,2020,6,102.65625,RCP85,e_hype
6,white,2020,7,79.1055,RCP85,e_hype
7,white,2020,8,59.06025000000001,RCP85,e_hype
8,white,2020,9,68.09925000000001,RCP85,e_hype
9,white,2020,10,82.99175,RCP85,e_hype
10,white,2020,11,60.808,RCP85,e_hype
11,white,2020,12,51.92975,RCP85,e_hype
12,white,2020,13,49.0485,RCP85,e_hype
13,white,2020,14,60.42399999999999,RCP85,e_hype
14,white,2020,15,42.9865,RCP85,e_hype
15,white,2020,16,34.371750000000006,RCP85,e_hype
16,white,2020,17,42.958999999999996,RCP85,e_hype
17,white,2020,18,40.862249999999996,RCP85,e_hype
18,white,2020,19,34.11875,RCP85,e_hype
19,white,2020,20,35.171499999999995,RCP85,e_hype
20,white,2020,21,33.42075,RCP85,e_hype
21,white,2020,22,29.788250000000005,RCP85,e_hype
22,white,2020,23,17.54325,RCP85,e_hype
23,white,2020,24,16.874000000000002,RCP85,e_hype
24,white,2020,25,10.62175,RCP85,e_hype
25,white,2020,26,14.632000000000001,RCP85,e_hype
26,white,2020,27,12.119,RCP85,e_hype
27,white,2020,28,9.666,RCP85,e_hype
28,white,2020,29,8.15425,RCP85,e_hype
29,white,2020,30,6.04925,RCP85,e_hype
30,white,2020,31,5.16875,RCP85,e_hype
31,white,2020,32,4.662249999999999,RCP85,e_hype
32,white,2020,33,5.24975,RCP85,e_hype
33,white,2020,34,5.572,RCP85,e_hype
34,white,2020,35,7.538500000000001,RCP85,e_hype
35,white,2020,36,16.0215,RCP85,e_hype
36,white,2020,37,14.488500000000002,RCP85,e_hype
37,white,2020,38,20.6535,RCP85,e_hype
38,white,2020,39,20.996499999999997,RCP85,e_hype
39,white,2020,40,28.944,RCP85,e_hype
40,white,2020,41,35.52675,RCP85,e_hype
41,white,2020,42,97.401,RCP85,e_hype
42,white,2020,43,71.4975,RCP85,e_hype
43,white,2020,44,50.409,RCP85,e_hype
44,white,2020,45,61.7685,RCP85,e_hype
45,white,2020,46,74.6605,RCP85,e_hype
46,white,2020,47,63.622749999999996,RCP85,e_hype
47,white,2020,48,79.48225000000001,RCP85,e_hype
48,white,2020,49,68.25525,RCP85,e_hype
49,white,2020,50,77.9395,RCP85,e_hype
50,white,2020,51,78.59625,RCP85,e_hype
51,white,2020,52,88.68075000000002,RCP85,e_hype
52,white,2020,53,84.06375,RCP85,e_hype
53,white,2021,1,95.79175000000001,RCP85,e_hype
54,white,2021,2,93.67850000000001,RCP85,e_hype
55,white,2021,3,122.77374999999999,RCP85,e_hype
56,white,2021,4,134.46625,RCP85,e_hype
57,white,2021,5,115.25325000000001,RCP85,e_hype
58,white,2021,6,111.59425,RCP85,e_hype
59,white,2021,7,103.036,RCP85,e_hype
60,white,2021,8,95.46575000000001,RCP85,e_hype
61,white,2021,9,103.49775000000001,RCP85,e_hype
62,white,2021,10,110.89325,RCP85,e_hype
63,white,2021,11,83.0645,RCP85,e_hype
64,white,2021,12,65.90075,RCP85,e_hype
