,Date,year,catchment,REF,RCP26,RCP45,RCP85,RCP26-REF,RCP45-REF,RCP85-REF,RCP26-REF%,RCP45-REF%,RCP85-REF%
0,1981-01-01,1981,koman,257.23419189453125,209.1215,193.3132,200.414,-48.11269189453125,-63.920991894531255,-56.82019189453126,-18.703847859485943,-24.849337261019926,-22.088895522033923
1,1981-01-02,1981,koman,241.67630004882807,202.7845,189.7742,195.453,-38.89180004882806,-51.90210004882806,-46.223300048828065,-16.092517156614196,-21.475874977538883,-19.126120368231867
2,1981-01-03,1981,koman,227.7704925537109,195.573,185.3774,189.8625,-32.1974925537109,-42.393092553710915,-37.9079925537109,-14.135936658308962,-18.612196899786802,-16.64306562658539
3,1981-01-04,1981,koman,219.87440490722656,187.171,181.048,184.25725,-32.70340490722657,-38.82640490722656,-35.61715490722656,-14.873675233379432,-17.658446840872138,-16.19886358407874
4,1981-01-05,1981,koman,216.76119995117188,179.25650000000002,177.52540000000002,178.478,-37.50469995117186,-39.235799951171856,-38.283199951171866,-17.302312387835208,-18.100933174392004,-17.661463379883312
5,1981-01-06,1981,koman,219.3988037109375,172.978,174.21679999999998,173.23424999999995,-46.42080371093749,-45.18200371093752,-46.164553710937554,-21.158184514122453,-20.59355062412544,-21.041388070538577
6,1981-01-07,1981,koman,223.9010009765625,167.06799999999998,170.6508,168.1725,-56.833000976562516,-53.250200976562496,-55.728500976562486,-25.383093746200664,-23.782922248809697,-24.889795370944338
7,1981-01-08,1981,koman,225.1036071777344,161.937,167.4112,163.49075,-63.16660717773439,-57.692407177734395,-61.61285717773441,-28.061126149728967,-25.629268185019516,-27.37088843231505
8,1981-01-09,1981,koman,222.5209045410156,157.3075,170.9054,159.10875,-65.21340454101559,-51.61550454101561,-63.41215454101561,-29.30664185260639,-23.195800254129253,-28.497167343361813
9,1981-01-10,1981,koman,217.1636962890625,153.127,172.404,155.025,-64.03669628906249,-44.759696289062504,-62.138696289062494,-29.48775388489633,-20.6110399914559,-28.61375881461828
10,1981-01-11,1981,koman,209.8099975585937,149.369,173.9656,151.2465,-60.44099755859369,-35.8443975585937,-58.563497558593696,-28.80749166479272,-17.08421809050516,-27.91263440258067
11,1981-01-12,1981,koman,201.50439453125,146.863,173.68800000000002,148.20000000000002,-54.64139453125,-27.816394531249983,-53.30439453124998,-27.116725994169833,-13.804361237856835,-26.4532168914973
12,1981-01-13,1981,koman,199.4459991455078,146.34300000000002,172.74079999999998,146.25975,-53.102999145507795,-26.705199145507834,-53.186249145507816,-26.625251633534138,-13.389689068681088,-26.66699225523459
13,1981-01-14,1981,koman,208.2783966064453,146.252,171.373,145.299,-62.0263966064453,-36.90539660644532,-62.979396606445306,-29.780523384596602,-17.719262874958805,-30.238084041643887
14,1981-01-15,1981,koman,210.0811004638672,146.345,169.72199999999998,145.16125,-63.73610046386719,-40.35910046386721,-64.91985046386719,-30.33880740491906,-19.21120004357972,-30.902280272010024
15,1981-01-16,1981,koman,219.07090759277344,146.48000000000002,168.1494,145.91125000000002,-72.59090759277342,-50.92150759277342,-73.15965759277341,-33.13580447099403,-23.244303934427663,-33.395423608126215
16,1981-01-17,1981,koman,222.797607421875,146.652,165.7138,145.965,-76.14560742187501,-57.08380742187501,-76.832607421875,-34.17703102964237,-25.621373623543832,-34.48538263536636
17,1981-01-18,1981,koman,224.92340087890625,146.478,163.3076,145.9785,-78.44540087890624,-61.61580087890624,-78.94490087890625,-34.876495985911,-27.39412646178101,-35.09857158944899
18,1981-01-19,1981,koman,222.8211975097656,146.152,162.5386,148.166,-76.66919750976561,-60.282597509765594,-74.6551975097656,-34.40839487742428,-27.054247164758007,-33.50453114160904
19,1981-01-20,1981,koman,217.9624938964844,142.93099999999998,164.648,153.79425,-75.03149389648442,-53.31449389648441,-64.1682438964844,-34.424038996414986,-24.460398182911565,-29.44003931564457
20,1981-01-21,1981,koman,211.0498962402344,120.934,157.59879999999998,147.77949999999998,-90.1158962402344,-53.45109624023442,-63.27039624023442,-42.69885834848128,-25.326284064784367,-29.978880524165163
21,1981-01-22,1981,koman,203.07020568847656,146.45999999999998,171.911,168.2265,-56.61020568847658,-31.15920568847656,-34.843705688476575,-27.877159771690224,-15.344055807121649,-17.158452945051515
22,1981-01-23,1981,koman,194.46139526367188,149.53199999999998,176.689,176.094,-44.92939526367189,-17.772395263671882,-18.36739526367188,-23.104531983199923,-9.139292269076924,-9.445265595655822
23,1981-01-24,1981,koman,185.92239379882807,148.94150000000002,177.9422,179.54925,-36.98089379882805,-7.980193798828054,-6.3731437988280675,-19.89050003241791,-4.29221764832847,-3.4278516259445015
24,1981-01-25,1981,koman,177.6927032470703,148.1885,178.20279999999997,181.3045,-29.504203247070308,0.5100967529296554,3.6117967529296777,-16.60406010372109,0.28706679768408866,2.0326083665392303
25,1981-01-26,1981,koman,169.95339965820312,149.16649999999998,179.478,183.29125,-20.78689965820314,9.524600341796884,13.337850341796866,-12.230940775535007,5.60424231639497,7.847945594863591
26,1981-01-27,1981,koman,162.64259338378906,151.909,182.2196,186.59275,-10.73359338378907,19.57700661621095,23.950156616210933,-6.599497192264342,12.03682639886031,14.725636205084083
27,1981-01-28,1981,koman,155.82040405273438,152.763,183.73200000000003,188.1295,-3.0574040527343698,27.911595947265653,32.30909594726563,-1.962133310666844,17.91267075512108,20.734830039544274
28,1981-01-29,1981,koman,149.56179809570312,151.14600000000002,184.595,187.9375,1.58420190429689,35.033201904296874,38.375701904296875,1.0592289772306527,23.42389724539115,25.658759384358724
29,1981-01-30,1981,koman,143.6555938720703,154.47,187.3518,189.88675,10.814406127929686,43.696206127929685,46.231156127929694,7.528009064206886,30.417337014277695,32.18193937445969
30,1981-01-31,1981,koman,143.1042022705078,161.16899999999998,191.2882,193.27075,18.06479772949217,48.18399772949218,50.16654772949218,12.623527082275713,33.67056799520859,35.05595708130434
31,1981-02-01,1981,koman,142.87730407714844,159.326,191.9634,193.47425,16.448695922851556,49.08609592285157,50.596945922851575,11.512462408984055,34.35541861592441,35.41286438014753
32,1981-02-02,1981,koman,142.8094024658203,160.178,194.3602,196.284,17.368597534179685,51.55079753417968,53.47459753417968,12.162082632014826,36.0976214759513,37.44473165692166
33,1981-02-03,1981,koman,143.17340087890625,160.755,195.1892,197.67675,17.581599121093745,52.01579912109375,54.50334912109375,12.279933991345207,36.330630411641806,38.06806905927436
34,1981-02-04,1981,koman,143.96609497070312,159.573,201.1024,205.79375,15.606905029296883,57.136305029296864,61.827655029296864,10.840680948158568,39.68733404967608,42.94598324826321
35,1981-02-05,1981,koman,181.24940490722656,156.54,195.1816,199.4195,-24.70940490722657,13.93219509277344,18.170095092773437,-13.632819881463448,7.686753564738437,10.02491296568609
36,1981-02-06,1981,koman,190.85069274902344,153.35750000000002,231.0584,245.55025,-37.49319274902342,40.20770725097657,54.69955725097657,-19.64530084170484,21.067624472210518,28.66091627076709
37,1981-02-07,1981,koman,218.7803955078125,151.2355,262.75660000000005,286.60725,-67.5448955078125,43.97620449218755,67.82685449218752,-30.873376634608245,20.10061476948797,31.002254262661054
38,1981-02-08,1981,koman,235.5299072265625,151.79500000000002,283.28540000000004,313.7705,-83.73490722656248,47.75549277343754,78.24059277343753,-35.55170900059653,20.275765967801387,33.21896301609621
39,1981-02-09,1981,koman,244.04080200195312,153.2625,292.3446,326.55675,-90.77830200195314,48.30379799804689,82.5159479980469,-37.19800183299947,19.79332865725474,33.812357327602335
40,1981-02-10,1981,koman,247.9282073974609,153.6955,289.4504,324.39975,-94.2327073974609,41.52219260253909,76.47154260253907,-38.00806224779164,16.747667818197733,30.844228418086097
41,1981-02-11,1981,koman,251.1015014648437,153.751,287.1558,322.40374999999995,-97.35050146484369,36.054298535156306,71.30224853515625,-38.76938245965589,14.358455972914289,28.39578740835971
42,1981-02-12,1981,koman,294.7137145996094,154.09550000000002,279.8878,313.45375,-140.61821459960936,-14.825914599609348,18.74003540039064,-47.71349537996551,-5.030615768849259,6.3587252550667275
43,1981-02-13,1981,koman,312.8995056152344,155.4825,287.0102,322.458,-157.4170056152344,-25.889305615234377,9.558494384765652,-50.30912570657961,-8.274000166388848,3.0548128754538597
