,Date,year,catchment,REF,RCP26,RCP45,RCP85,RCP26-REF,RCP45-REF,RCP85-REF,RCP26-REF%,RCP45-REF%,RCP85-REF%
0,1981-01-01,1981,vaudj,319.8027038574219,215.98,209.62940000000003,218.71250000000003,-103.82270385742189,-110.17330385742184,-101.09020385742184,-32.464611025837144,-34.450397863596734,-31.610177974758784
1,1981-01-02,1981,vaudj,302.6654052734375,220.219,210.0996,219.01875,-82.4464052734375,-92.56580527343749,-83.64665527343749,-27.240115268196185,-30.583543299179045,-27.636675290943298
2,1981-01-03,1981,vaudj,286.1141052246094,222.105,209.3354,217.78575,-64.00910522460939,-76.77870522460938,-68.32835522460937,-22.37188032878003,-26.834994787948492,-23.881505307460905
3,1981-01-04,1981,vaudj,278.2538146972656,220.304,207.2138,214.6655,-57.94981469726562,-71.04001469726563,-63.588314697265616,-20.82624267355106,-25.530652571486108,-22.852629986923407
4,1981-01-05,1981,vaudj,273.1083068847656,216.1605,204.2562,210.34475,-56.94780688476561,-68.85210688476562,-62.76355688476562,-20.851730045982812,-25.210550228271465,-22.98119658119658
5,1981-01-06,1981,vaudj,265.9283142089844,210.724,200.83560000000003,205.31425,-55.204314208984385,-65.09271420898435,-60.61406420898439,-20.75909606436309,-24.477541777604813,-22.793384897461415
6,1981-01-07,1981,vaudj,259.4075927734375,204.1115,196.9668,199.6955,-55.29609277343749,-62.440792773437494,-59.71209277343749,-21.316296944990437,-24.070533983163823,-23.018637247672658
7,1981-01-08,1981,vaudj,254.3798065185547,197.3125,193.5416,193.9265,-57.06730651855469,-60.8382065185547,-60.45330651855468,-22.43389807531446,-23.91628775537932,-23.76497857511546
8,1981-01-09,1981,vaudj,249.8654937744141,190.783,192.4056,188.29425,-59.082493774414104,-57.4598937744141,-61.571243774414086,-23.645719495688155,-22.99633010802627,-24.64175538780173
9,1981-01-10,1981,vaudj,245.0419006347656,184.7075,191.1844,182.9135,-60.334400634765586,-53.857500634765586,-62.1284006347656,-24.622075032259026,-21.978894423872458,-25.354194720913398
10,1981-01-11,1981,vaudj,239.62649536132807,179.079,190.5292,177.80325,-60.54749536132806,-49.097295361328065,-61.82324536132808,-25.267446018450375,-20.489092947461934,-25.799837062302323
11,1981-01-12,1981,vaudj,233.80059814453125,173.87349999999998,189.8524,172.9715,-59.92709814453127,-43.94819814453126,-60.82909814453126,-25.63171292978705,-18.797299276951932,-26.01751177168838
12,1981-01-13,1981,vaudj,242.1390991210937,169.45999999999998,189.0464,168.68025,-72.67909912109371,-53.09269912109369,-73.45884912109369,-30.015433023787256,-21.926528724112433,-30.337458670545786
13,1981-01-14,1981,vaudj,250.3988037109375,165.847,187.7272,164.93275,-84.55180371093749,-62.67160371093749,-85.4660537109375,-33.76685609430659,-25.028715306198556,-34.13197365335668
14,1981-01-15,1981,vaudj,252.43460083007807,163.00650000000002,186.2392,162.1425,-89.42810083007805,-66.19540083007806,-90.29210083007806,-35.42624526749208,-26.222792205350775,-35.76851213469607
15,1981-01-16,1981,vaudj,263.6585998535156,160.86450000000002,185.41440000000003,161.29625,-102.7940998535156,-78.2441998535156,-102.36234985351564,-38.98757708287396,-29.676331398629436,-38.82382365315847
16,1981-01-17,1981,vaudj,261.11669921875,159.2185,184.2064,160.92075,-101.89819921875,-76.91029921875,-100.19594921875,-39.02400709093867,-29.454377850540514,-38.37209551075515
17,1981-01-18,1981,vaudj,258.7677001953125,157.9885,181.96240000000003,159.846,-100.77920019531251,-76.80530019531247,-98.9217001953125,-38.94581901807933,-29.681177417947225,-38.227993725897186
18,1981-01-19,1981,vaudj,254.3121032714844,156.93599999999998,179.75859999999997,159.352,-97.37610327148442,-74.55350327148443,-94.9601032714844,-38.28999957879828,-29.315751123294646,-37.33998580874154
19,1981-01-20,1981,vaudj,250.1360015869141,156.0155,178.6554,160.511,-94.12050158691409,-71.4806015869141,-89.6250015869141,-37.627730910302525,-28.576694731436703,-35.830508610641694
20,1981-01-21,1981,vaudj,244.3544006347656,153.13850000000002,177.80280000000002,162.10725000000002,-91.21590063476557,-66.55160063476558,-82.24715063476557,-37.3293463910663,-27.235687371245536,-33.65896027291102
21,1981-01-22,1981,vaudj,237.6938934326172,154.5695,179.15120000000002,166.471,-83.12439343261718,-58.54269343261717,-71.22289343261718,-34.97119435093176,-24.629447810872428,-29.964124195225843
22,1981-01-23,1981,vaudj,230.32989501953125,157.026,181.6634,171.91500000000002,-73.30389501953124,-48.666495019531254,-58.41489501953123,-31.82561039821396,-21.129039726000173,-25.36140391787954
