,Date,year,catchment,RCP26,RCP45,RCP85
3653,1981-01-01,1981,ohrid,0.0,0.3478,0.33775
3654,1981-01-02,1981,ohrid,0.003,0.36319999999999997,0.358
3655,1981-01-03,1981,ohrid,0.0015,0.3772,0.37274999999999997
3656,1981-01-04,1981,ohrid,0.0,0.4042,0.39725
3657,1981-01-05,1981,ohrid,0.0035,0.4226,0.413
3658,1981-01-06,1981,ohrid,0.0035,0.4353999999999999,0.42599999999999993
3659,1981-01-07,1981,ohrid,0.0055,0.4486,0.43925
3660,1981-01-08,1981,ohrid,0.004,0.4622,0.4495
3661,1981-01-09,1981,ohrid,0.006,0.48200000000000004,0.46075
3662,1981-01-10,1981,ohrid,0.0045,0.5024,0.4804999999999999
3663,1981-01-11,1981,ohrid,0.0035,0.5164,0.49124999999999996
3664,1981-01-12,1981,ohrid,0.008,0.529,0.50325
3665,1981-01-13,1981,ohrid,0.0055,0.5532,0.5277499999999999
3666,1981-01-14,1981,ohrid,0.0075,0.5674,0.54175
3667,1981-01-15,1981,ohrid,0.007,0.58,0.55275
3668,1981-01-16,1981,ohrid,0.0075,0.5892000000000001,0.55975
3669,1981-01-17,1981,ohrid,0.006,0.5995999999999999,0.569
3670,1981-01-18,1981,ohrid,0.0085,0.6157999999999999,0.583
3671,1981-01-19,1981,ohrid,0.0075,0.6245999999999999,0.58975
3672,1981-01-20,1981,ohrid,0.0085,0.638,0.603
3673,1981-01-21,1981,ohrid,0.0095,0.6544,0.62175
3674,1981-01-22,1981,ohrid,0.009,0.6656,0.633
3675,1981-01-23,1981,ohrid,0.011,0.7008,0.649
3676,1981-01-24,1981,ohrid,0.0115,0.7103999999999999,0.66
3677,1981-01-25,1981,ohrid,0.0115,0.7242,0.6755
3678,1981-01-26,1981,ohrid,0.01,0.7333999999999999,0.685
3679,1981-01-27,1981,ohrid,0.0115,0.7418000000000001,0.6930000000000001
3680,1981-01-28,1981,ohrid,0.0105,0.7499999999999999,0.7
3681,1981-01-29,1981,ohrid,0.012,0.7586,0.70675
3682,1981-01-30,1981,ohrid,0.022,0.7700000000000001,0.7175
3683,1981-01-31,1981,ohrid,0.026,0.7838,0.7295
3684,1981-02-01,1981,ohrid,0.0265,0.8016,0.748
3685,1981-02-02,1981,ohrid,0.0285,0.8181999999999998,0.766
3686,1981-02-03,1981,ohrid,0.0285,0.8368,0.7845
3687,1981-02-04,1981,ohrid,0.03,0.8672000000000001,0.81925
3688,1981-02-05,1981,ohrid,0.0305,0.8873999999999999,0.84175
3689,1981-02-06,1981,ohrid,0.031,0.9052,0.86075
3690,1981-02-07,1981,ohrid,0.031,0.9272,0.88025
3691,1981-02-08,1981,ohrid,0.032,0.9426,0.89575
3692,1981-02-09,1981,ohrid,0.0315,0.9614,0.915
3693,1981-02-10,1981,ohrid,0.035,0.977,0.93225
3694,1981-02-11,1981,ohrid,0.036,0.99,0.94575
3695,1981-02-12,1981,ohrid,0.0405,1.0186,0.97925
3696,1981-02-13,1981,ohrid,0.0415,1.0432000000000001,1.0070000000000001
3697,1981-02-14,1981,ohrid,0.0435,1.057,1.0237500000000002
3698,1981-02-15,1981,ohrid,0.0455,1.0704,1.04175
3699,1981-02-16,1981,ohrid,0.0465,1.0879999999999999,1.06275
3700,1981-02-17,1981,ohrid,0.0525,1.1141999999999999,1.09425
3701,1981-02-18,1981,ohrid,0.059,1.1304,1.1065
3702,1981-02-19,1981,ohrid,0.062,1.1705999999999999,1.137
3703,1981-02-20,1981,ohrid,0.0635,1.2076,1.181
3704,1981-02-21,1981,ohrid,0.0655,1.2328,1.21
3705,1981-02-22,1981,ohrid,0.0675,1.3056,1.29975
3706,1981-02-23,1981,ohrid,0.0755,1.3477999999999999,1.34975
3707,1981-02-24,1981,ohrid,0.097,1.4074000000000002,1.42275
3708,1981-02-25,1981,ohrid,0.0995,1.4388,1.4615
3709,1981-02-26,1981,ohrid,0.1015,1.4656,1.49475
3710,1981-02-27,1981,ohrid,0.104,1.4926,1.529
3711,1981-02-28,1981,ohrid,0.105,1.5248,1.5699999999999998
3712,1981-03-01,1981,ohrid,0.1055,1.5615999999999999,1.6167500000000001
