,Unnamed: 0,Date,value,catchment,scenario,model
0,0,1981-01-01,13.09119987487793,ohrid,REF,e_hype
1,1,1981-01-02,13.113499641418455,ohrid,REF,e_hype
2,2,1981-01-03,13.122300148010254,ohrid,REF,e_hype
3,3,1981-01-04,13.155699729919434,ohrid,REF,e_hype
4,4,1981-01-05,13.479900360107422,ohrid,REF,e_hype
5,5,1981-01-06,13.539899826049805,ohrid,REF,e_hype
6,6,1981-01-07,13.624500274658203,ohrid,REF,e_hype
7,7,1981-01-08,13.687999725341797,ohrid,REF,e_hype
8,8,1981-01-09,13.72480010986328,ohrid,REF,e_hype
9,9,1981-01-10,13.747300148010254,ohrid,REF,e_hype
10,10,1981-01-11,13.746600151062012,ohrid,REF,e_hype
11,11,1981-01-12,13.732099533081056,ohrid,REF,e_hype
12,12,1981-01-13,13.816900253295898,ohrid,REF,e_hype
13,13,1981-01-14,14.113800048828123,ohrid,REF,e_hype
14,14,1981-01-15,14.21969985961914,ohrid,REF,e_hype
15,15,1981-01-16,14.68589973449707,ohrid,REF,e_hype
16,16,1981-01-17,14.825400352478027,ohrid,REF,e_hype
17,17,1981-01-18,15.14330005645752,ohrid,REF,e_hype
18,18,1981-01-19,15.27560043334961,ohrid,REF,e_hype
19,19,1981-01-20,15.350000381469728,ohrid,REF,e_hype
20,20,1981-01-21,15.456299781799316,ohrid,REF,e_hype
21,21,1981-01-22,15.468600273132324,ohrid,REF,e_hype
22,22,1981-01-23,15.458200454711914,ohrid,REF,e_hype
23,23,1981-01-24,15.455100059509276,ohrid,REF,e_hype
24,24,1981-01-25,15.460599899291992,ohrid,REF,e_hype
25,25,1981-01-26,15.43910026550293,ohrid,REF,e_hype
26,26,1981-01-27,15.416399955749512,ohrid,REF,e_hype
27,27,1981-01-28,15.38539981842041,ohrid,REF,e_hype
28,28,1981-01-29,15.375100135803224,ohrid,REF,e_hype
29,29,1981-01-30,15.33590030670166,ohrid,REF,e_hype
30,30,1981-01-31,15.27239990234375,ohrid,REF,e_hype
31,31,1981-02-01,15.198200225830078,ohrid,REF,e_hype
32,32,1981-02-02,15.114800453186035,ohrid,REF,e_hype
33,33,1981-02-03,15.039999961853027,ohrid,REF,e_hype
34,34,1981-02-04,15.026700019836426,ohrid,REF,e_hype
35,35,1981-02-05,15.679100036621094,ohrid,REF,e_hype
36,36,1981-02-06,16.250600814819336,ohrid,REF,e_hype
37,37,1981-02-07,16.336200714111328,ohrid,REF,e_hype
38,38,1981-02-08,16.377300262451172,ohrid,REF,e_hype
39,39,1981-02-09,16.374799728393555,ohrid,REF,e_hype
40,40,1981-02-10,16.375099182128906,ohrid,REF,e_hype
41,41,1981-02-11,16.374500274658203,ohrid,REF,e_hype
42,42,1981-02-12,16.745899200439453,ohrid,REF,e_hype
43,43,1981-02-13,17.3518009185791,ohrid,REF,e_hype
44,44,1981-02-14,18.317800521850582,ohrid,REF,e_hype
45,45,1981-02-15,18.53660011291504,ohrid,REF,e_hype
46,46,1981-02-16,18.701499938964844,ohrid,REF,e_hype
47,47,1981-02-17,18.80340003967285,ohrid,REF,e_hype
48,48,1981-02-18,18.859100341796875,ohrid,REF,e_hype
49,49,1981-02-19,18.929000854492188,ohrid,REF,e_hype
50,50,1981-02-20,19.04730033874512,ohrid,REF,e_hype
51,51,1981-02-21,19.49839973449707,ohrid,REF,e_hype
52,52,1981-02-22,19.562299728393555,ohrid,REF,e_hype
53,53,1981-02-23,19.681100845336918,ohrid,REF,e_hype
54,54,1981-02-24,19.88050079345703,ohrid,REF,e_hype
55,55,1981-02-25,20.034299850463867,ohrid,REF,e_hype
56,56,1981-02-26,20.491100311279297,ohrid,REF,e_hype
57,57,1981-02-27,20.55970001220703,ohrid,REF,e_hype
58,58,1981-02-28,20.60950088500977,ohrid,REF,e_hype
59,59,1981-03-01,20.59480094909668,ohrid,REF,e_hype
60,60,1981-03-02,20.61989974975586,ohrid,REF,e_hype
61,61,1981-03-03,21.08760070800781,ohrid,REF,e_hype
62,62,1981-03-04,21.756999969482425,ohrid,REF,e_hype
63,63,1981-03-05,22.160600662231445,ohrid,REF,e_hype
64,64,1981-03-06,22.34670066833496,ohrid,REF,e_hype
65,65,1981-03-07,22.497900009155277,ohrid,REF,e_hype
66,66,1981-03-08,22.58009910583496,ohrid,REF,e_hype
67,67,1981-03-09,22.58449935913086,ohrid,REF,e_hype
68,68,1981-03-10,22.522600173950195,ohrid,REF,e_hype
69,69,1981-03-11,22.41320037841797,ohrid,REF,e_hype
70,70,1981-03-12,22.27879905700684,ohrid,REF,e_hype
71,71,1981-03-13,22.28260040283203,ohrid,REF,e_hype
72,72,1981-03-14,22.54490089416504,ohrid,REF,e_hype
73,73,1981-03-15,22.493900299072266,ohrid,REF,e_hype
74,74,1981-03-16,22.53660011291504,ohrid,REF,e_hype
75,75,1981-03-17,22.38789939880371,ohrid,REF,e_hype
76,76,1981-03-18,22.408599853515625,ohrid,REF,e_hype
77,77,1981-03-19,24.358400344848636,ohrid,REF,e_hype
78,78,1981-03-20,24.69109916687012,ohrid,REF,e_hype
79,79,1981-03-21,24.91819953918457,ohrid,REF,e_hype
80,80,1981-03-22,25.01740074157715,ohrid,REF,e_hype
81,81,1981-03-23,25.020700454711918,ohrid,REF,e_hype
82,82,1981-03-24,24.935800552368164,ohrid,REF,e_hype
83,83,1981-03-25,24.79199981689453,ohrid,REF,e_hype
84,84,1981-03-26,24.59079933166504,ohrid,REF,e_hype
85,85,1981-03-27,24.3572998046875,ohrid,REF,e_hype
86,86,1981-03-28,24.20439910888672,ohrid,REF,e_hype
87,87,1981-03-29,23.94849967956543,ohrid,REF,e_hype
88,88,1981-03-30,23.651899337768555,ohrid,REF,e_hype
89,89,1981-03-31,23.364500045776367,ohrid,REF,e_hype
90,90,1981-04-01,23.153600692749023,ohrid,REF,e_hype
91,91,1981-04-02,22.97249984741211,ohrid,REF,e_hype
92,92,1981-04-03,22.90660095214844,ohrid,REF,e_hype
93,93,1981-04-04,22.6466007232666,ohrid,REF,e_hype
94,94,1981-04-05,22.38330078125,ohrid,REF,e_hype
95,95,1981-04-06,22.09860038757324,ohrid,REF,e_hype
96,96,1981-04-07,21.80719947814941,ohrid,REF,e_hype
97,97,1981-04-08,21.507099151611328,ohrid,REF,e_hype
98,98,1981-04-09,21.20070075988769,ohrid,REF,e_hype
99,99,1981-04-10,21.00830078125,ohrid,REF,e_hype
100,100,1981-04-11,21.00200080871582,ohrid,REF,e_hype
101,101,1981-04-12,21.140100479125977,ohrid,REF,e_hype
102,102,1981-04-13,20.88050079345703,ohrid,REF,e_hype
103,103,1981-04-14,20.603599548339844,ohrid,REF,e_hype
104,104,1981-04-15,20.297100067138672,ohrid,REF,e_hype
105,105,1981-04-16,20.000900268554688,ohrid,REF,e_hype
106,106,1981-04-17,19.910999298095703,ohrid,REF,e_hype
107,107,1981-04-18,19.731800079345703,ohrid,REF,e_hype
108,108,1981-04-19,19.743900299072266,ohrid,REF,e_hype
109,109,1981-04-20,19.51129913330078,ohrid,REF,e_hype
110,110,1981-04-21,19.26059913635254,ohrid,REF,e_hype
111,111,1981-04-22,18.98970031738281,ohrid,REF,e_hype
112,112,1981-04-23,18.69659996032715,ohrid,REF,e_hype
113,113,1981-04-24,18.3927001953125,ohrid,REF,e_hype
114,114,1981-04-25,18.16990089416504,ohrid,REF,e_hype
115,115,1981-04-26,17.998899459838867,ohrid,REF,e_hype
116,116,1981-04-27,18.07659912109375,ohrid,REF,e_hype
117,117,1981-04-28,17.85449981689453,ohrid,REF,e_hype
118,118,1981-04-29,17.613500595092773,ohrid,REF,e_hype
119,119,1981-04-30,17.36989974975586,ohrid,REF,e_hype
120,120,1981-05-01,17.102399826049805,ohrid,REF,e_hype
121,121,1981-05-02,17.03820037841797,ohrid,REF,e_hype
122,122,1981-05-03,16.8971004486084,ohrid,REF,e_hype
123,123,1981-05-04,16.768299102783203,ohrid,REF,e_hype
124,124,1981-05-05,17.229400634765625,ohrid,REF,e_hype
125,125,1981-05-06,17.248699188232422,ohrid,REF,e_hype
126,126,1981-05-07,17.080900192260742,ohrid,REF,e_hype
127,127,1981-05-08,16.8617000579834,ohrid,REF,e_hype
128,128,1981-05-09,16.65719985961914,ohrid,REF,e_hype
129,129,1981-05-10,16.399900436401367,ohrid,REF,e_hype
