model,scenario,year,catchment,month,week,value
ehype,ref,2020,ohrid,1,1,6.42
ehype,ref,2020,ohrid,1,2,3.224
ehype,ref,2020,ohrid,1,3,6.018
ehype,ref,2020,ohrid,1,4,6.617
ehype,ref,2020,ohrid,1,5,7.221
ehype,ref,2020,ohrid,2,6,4.35
ehype,ref,2020,ohrid,2,7,6.779
ehype,ref,2020,ohrid,2,8,9.1
ehype,ref,2020,ohrid,2,9,8.652
ehype,ref,2020,ohrid,3,10,4.539
ehype,ref,2020,ohrid,3,11,8.489
ehype,ref,2020,ohrid,3,12,11.196
ehype,ref,2020,ohrid,3,13,10.67
ehype,ref,2020,ohrid,4,14,6.943
ehype,ref,2020,ohrid,4,15,4.884
ehype,ref,2020,ohrid,4,16,10.286
ehype,ref,2020,ohrid,4,17,9.736
ehype,ref,2020,ohrid,5,18,8.01
ehype,ref,2020,ohrid,5,19,3.525
ehype,ref,2020,ohrid,5,20,7.194
ehype,ref,2020,ohrid,5,21,7.074
ehype,ref,2020,ohrid,5,22,7.107
ehype,ref,2020,ohrid,6,23,4.972
ehype,ref,2020,ohrid,6,24,3.408
ehype,ref,2020,ohrid,6,25,4.253
ehype,ref,2020,ohrid,6,26,4.379
ehype,ref,2020,ohrid,7,27,6.198
ehype,ref,2020,ohrid,7,28,1.9
ehype,ref,2020,ohrid,7,29,2.101
ehype,ref,2020,ohrid,7,30,1.823
ehype,ref,2020,ohrid,8,31,5.406
ehype,ref,2020,ohrid,8,32,3.011
ehype,ref,2020,ohrid,8,33,1.046
ehype,ref,2020,ohrid,8,34,0.737
ehype,ref,2020,ohrid,8,35,2.519
ehype,ref,2020,ohrid,9,36,5.442
ehype,ref,2020,ohrid,9,37,0.929
ehype,ref,2020,ohrid,9,38,0.415
ehype,ref,2020,ohrid,9,39,1.131
ehype,ref,2020,ohrid,10,40,5.9
ehype,ref,2020,ohrid,10,41,1.554
ehype,ref,2020,ohrid,10,42,0.571
ehype,ref,2020,ohrid,10,43,0.524
ehype,ref,2020,ohrid,10,44,4.311
ehype,ref,2020,ohrid,11,45,3.836
ehype,ref,2020,ohrid,11,46,1.124
ehype,ref,2020,ohrid,11,47,1.415
ehype,ref,2020,ohrid,11,48,3.468
ehype,ref,2020,ohrid,12,49,5.458
ehype,ref,2020,ohrid,12,50,2.113
ehype,ref,2020,ohrid,12,51,3.372
ehype,ref,2020,ohrid,12,52,4.062
