,catchment,year,week,value,scenario,model
0,fierz,2020,1,157.1185,RCP26,e_hype
1,fierz,2020,2,135.88400000000001,RCP26,e_hype
2,fierz,2020,3,116.92750000000001,RCP26,e_hype
3,fierz,2020,4,102.379,RCP26,e_hype
4,fierz,2020,5,100.81700000000001,RCP26,e_hype
5,fierz,2020,6,145.1635,RCP26,e_hype
6,fierz,2020,7,159.202,RCP26,e_hype
7,fierz,2020,8,191.149,RCP26,e_hype
8,fierz,2020,9,181.06099999999998,RCP26,e_hype
9,fierz,2020,10,155.9235,RCP26,e_hype
10,fierz,2020,11,148.849,RCP26,e_hype
11,fierz,2020,12,189.0515,RCP26,e_hype
12,fierz,2020,13,205.07600000000002,RCP26,e_hype
13,fierz,2020,14,290.7955,RCP26,e_hype
14,fierz,2020,15,358.3835,RCP26,e_hype
15,fierz,2020,16,262.063,RCP26,e_hype
16,fierz,2020,17,193.888,RCP26,e_hype
17,fierz,2020,18,158.1275,RCP26,e_hype
18,fierz,2020,19,140.562,RCP26,e_hype
19,fierz,2020,20,140.066,RCP26,e_hype
20,fierz,2020,21,140.066,RCP26,e_hype
21,fierz,2020,22,140.066,RCP26,e_hype
22,fierz,2020,23,140.066,RCP26,e_hype
23,fierz,2020,24,140.066,RCP26,e_hype
24,fierz,2020,25,140.066,RCP26,e_hype
25,fierz,2020,26,140.066,RCP26,e_hype
26,fierz,2020,27,92.831,RCP26,e_hype
27,fierz,2020,28,96.68950000000001,RCP26,e_hype
28,fierz,2020,29,70.7765,RCP26,e_hype
29,fierz,2020,30,34.5315,RCP26,e_hype
30,fierz,2020,31,46.1105,RCP26,e_hype
31,fierz,2020,32,17.296,RCP26,e_hype
32,fierz,2020,33,30.838,RCP26,e_hype
33,fierz,2020,34,12.7605,RCP26,e_hype
34,fierz,2020,35,12.2995,RCP26,e_hype
35,fierz,2020,36,37.2475,RCP26,e_hype
36,fierz,2020,37,56.509,RCP26,e_hype
37,fierz,2020,38,101.0195,RCP26,e_hype
38,fierz,2020,39,98.237,RCP26,e_hype
39,fierz,2020,40,85.2535,RCP26,e_hype
40,fierz,2020,41,74.67850000000001,RCP26,e_hype
41,fierz,2020,42,42.5235,RCP26,e_hype
42,fierz,2020,43,79.9125,RCP26,e_hype
43,fierz,2020,44,126.82300000000001,RCP26,e_hype
44,fierz,2020,45,97.0625,RCP26,e_hype
45,fierz,2020,46,135.2235,RCP26,e_hype
46,fierz,2020,47,140.066,RCP26,e_hype
47,fierz,2020,48,179.84300000000002,RCP26,e_hype
48,fierz,2020,49,217.22949999999997,RCP26,e_hype
49,fierz,2020,50,187.95100000000002,RCP26,e_hype
50,fierz,2020,51,215.4835,RCP26,e_hype
51,fierz,2020,52,187.9145,RCP26,e_hype
52,fierz,2020,53,185.9925,RCP26,e_hype
53,fierz,2021,1,197.8725,RCP26,e_hype
54,fierz,2021,2,190.8585,RCP26,e_hype
55,fierz,2021,3,219.5655,RCP26,e_hype
56,fierz,2021,4,250.42649999999998,RCP26,e_hype
57,fierz,2021,5,227.498,RCP26,e_hype
58,fierz,2021,6,171.7215,RCP26,e_hype
59,fierz,2021,7,145.97899999999998,RCP26,e_hype
60,fierz,2021,8,140.066,RCP26,e_hype
61,fierz,2021,9,145.244,RCP26,e_hype
62,fierz,2021,10,143.99,RCP26,e_hype
63,fierz,2021,11,166.9545,RCP26,e_hype
64,fierz,2021,12,179.763,RCP26,e_hype
65,fierz,2021,13,165.1155,RCP26,e_hype
66,fierz,2021,14,177.3655,RCP26,e_hype
67,fierz,2021,15,165.39100000000002,RCP26,e_hype
68,fierz,2021,16,146.65300000000002,RCP26,e_hype
69,fierz,2021,17,150.4305,RCP26,e_hype
70,fierz,2021,18,148.171,RCP26,e_hype
71,fierz,2021,19,140.398,RCP26,e_hype
72,fierz,2021,20,140.066,RCP26,e_hype
73,fierz,2021,21,140.066,RCP26,e_hype
74,fierz,2021,22,140.066,RCP26,e_hype
75,fierz,2021,23,140.066,RCP26,e_hype
76,fierz,2021,24,140.066,RCP26,e_hype
77,fierz,2021,25,88.443,RCP26,e_hype
78,fierz,2021,26,71.014,RCP26,e_hype
79,fierz,2021,27,74.175,RCP26,e_hype
80,fierz,2021,28,72.96300000000001,RCP26,e_hype
81,fierz,2021,29,70.63850000000001,RCP26,e_hype
82,fierz,2021,30,70.033,RCP26,e_hype
83,fierz,2021,31,71.49,RCP26,e_hype
84,fierz,2021,32,76.074,RCP26,e_hype
85,fierz,2021,33,19.79,RCP26,e_hype
86,fierz,2021,34,12.632,RCP26,e_hype
87,fierz,2021,35,24.8005,RCP26,e_hype
88,fierz,2021,36,16.6855,RCP26,e_hype
89,fierz,2021,37,14.0845,RCP26,e_hype
90,fierz,2021,38,27.8065,RCP26,e_hype
91,fierz,2021,39,73.2475,RCP26,e_hype
92,fierz,2021,40,140.066,RCP26,e_hype
93,fierz,2021,41,140.066,RCP26,e_hype
94,fierz,2021,42,140.066,RCP26,e_hype
95,fierz,2021,43,140.066,RCP26,e_hype
96,fierz,2021,44,140.066,RCP26,e_hype
97,fierz,2021,45,148.014,RCP26,e_hype
98,fierz,2021,46,220.80650000000003,RCP26,e_hype
