,catchment,year,week,value,scenario,model
0,vaudj,2020,1,153.78474999999997,RCP85,e_hype
1,vaudj,2020,2,155.81400000000002,RCP85,e_hype
2,vaudj,2020,3,227.2805,RCP85,e_hype
3,vaudj,2020,4,321.51575,RCP85,e_hype
4,vaudj,2020,5,338.865,RCP85,e_hype
5,vaudj,2020,6,366.019,RCP85,e_hype
6,vaudj,2020,7,302.86050000000006,RCP85,e_hype
7,vaudj,2020,8,231.04074999999997,RCP85,e_hype
8,vaudj,2020,9,200.07975,RCP85,e_hype
9,vaudj,2020,10,210.18025,RCP85,e_hype
10,vaudj,2020,11,210.11375,RCP85,e_hype
11,vaudj,2020,12,197.1795,RCP85,e_hype
12,vaudj,2020,13,209.38275000000002,RCP85,e_hype
13,vaudj,2020,14,205.33599999999998,RCP85,e_hype
14,vaudj,2020,15,172.9175,RCP85,e_hype
15,vaudj,2020,16,152.718,RCP85,e_hype
16,vaudj,2020,17,140.08125,RCP85,e_hype
17,vaudj,2020,18,163.33075,RCP85,e_hype
18,vaudj,2020,19,152.64275,RCP85,e_hype
19,vaudj,2020,20,157.606,RCP85,e_hype
20,vaudj,2020,21,145.917,RCP85,e_hype
21,vaudj,2020,22,146.952,RCP85,e_hype
22,vaudj,2020,23,125.07249999999999,RCP85,e_hype
23,vaudj,2020,24,127.6345,RCP85,e_hype
24,vaudj,2020,25,103.43775,RCP85,e_hype
25,vaudj,2020,26,89.48675,RCP85,e_hype
26,vaudj,2020,27,92.1285,RCP85,e_hype
27,vaudj,2020,28,85.97225,RCP85,e_hype
28,vaudj,2020,29,53.336,RCP85,e_hype
29,vaudj,2020,30,22.72575,RCP85,e_hype
30,vaudj,2020,31,11.16325,RCP85,e_hype
31,vaudj,2020,32,5.57925,RCP85,e_hype
32,vaudj,2020,33,3.6415,RCP85,e_hype
33,vaudj,2020,34,2.42225,RCP85,e_hype
34,vaudj,2020,35,2.3707499999999997,RCP85,e_hype
35,vaudj,2020,36,7.4995,RCP85,e_hype
36,vaudj,2020,37,26.0075,RCP85,e_hype
37,vaudj,2020,38,38.770250000000004,RCP85,e_hype
38,vaudj,2020,39,66.15025,RCP85,e_hype
39,vaudj,2020,40,89.42500000000001,RCP85,e_hype
40,vaudj,2020,41,117.8435,RCP85,e_hype
41,vaudj,2020,42,184.50475,RCP85,e_hype
42,vaudj,2020,43,230.8005,RCP85,e_hype
43,vaudj,2020,44,266.65725,RCP85,e_hype
44,vaudj,2020,45,232.725,RCP85,e_hype
45,vaudj,2020,46,293.4415,RCP85,e_hype
46,vaudj,2020,47,301.264,RCP85,e_hype
47,vaudj,2020,48,258.26175,RCP85,e_hype
48,vaudj,2020,49,215.1015,RCP85,e_hype
49,vaudj,2020,50,196.30125,RCP85,e_hype
50,vaudj,2020,51,205.63075,RCP85,e_hype
51,vaudj,2020,52,261.067,RCP85,e_hype
52,vaudj,2020,53,240.67849999999999,RCP85,e_hype
53,vaudj,2021,1,214.9915,RCP85,e_hype
54,vaudj,2021,2,210.89800000000002,RCP85,e_hype
55,vaudj,2021,3,236.357,RCP85,e_hype
56,vaudj,2021,4,319.786,RCP85,e_hype
57,vaudj,2021,5,370.8155,RCP85,e_hype
58,vaudj,2021,6,324.38374999999996,RCP85,e_hype
59,vaudj,2021,7,308.206,RCP85,e_hype
60,vaudj,2021,8,281.9625,RCP85,e_hype
61,vaudj,2021,9,336.702,RCP85,e_hype
62,vaudj,2021,10,432.20825,RCP85,e_hype
63,vaudj,2021,11,319.59425,RCP85,e_hype
64,vaudj,2021,12,257.03225000000003,RCP85,e_hype
65,vaudj,2021,13,217.32800000000003,RCP85,e_hype
66,vaudj,2021,14,209.60549999999998,RCP85,e_hype
67,vaudj,2021,15,247.18824999999998,RCP85,e_hype
68,vaudj,2021,16,325.23825000000005,RCP85,e_hype
69,vaudj,2021,17,322.22725,RCP85,e_hype
70,vaudj,2021,18,254.32150000000001,RCP85,e_hype
71,vaudj,2021,19,223.13074999999998,RCP85,e_hype
72,vaudj,2021,20,197.82999999999998,RCP85,e_hype
73,vaudj,2021,21,172.50825,RCP85,e_hype
74,vaudj,2021,22,161.30725,RCP85,e_hype
75,vaudj,2021,23,138.667,RCP85,e_hype
76,vaudj,2021,24,134.41175,RCP85,e_hype
77,vaudj,2021,25,149.846,RCP85,e_hype
78,vaudj,2021,26,136.84175,RCP85,e_hype
79,vaudj,2021,27,118.9035,RCP85,e_hype
80,vaudj,2021,28,109.768,RCP85,e_hype
81,vaudj,2021,29,93.432,RCP85,e_hype
82,vaudj,2021,30,63.25599999999999,RCP85,e_hype
83,vaudj,2021,31,51.7445,RCP85,e_hype
84,vaudj,2021,32,57.883,RCP85,e_hype
85,vaudj,2021,33,42.4935,RCP85,e_hype
86,vaudj,2021,34,24.787000000000003,RCP85,e_hype
87,vaudj,2021,35,16.435499999999998,RCP85,e_hype
88,vaudj,2021,36,18.8855,RCP85,e_hype
89,vaudj,2021,37,44.58325,RCP85,e_hype
90,vaudj,2021,38,99.25224999999999,RCP85,e_hype
91,vaudj,2021,39,110.991,RCP85,e_hype
92,vaudj,2021,40,137.308,RCP85,e_hype
93,vaudj,2021,41,138.08025,RCP85,e_hype
94,vaudj,2021,42,111.24975,RCP85,e_hype
95,vaudj,2021,43,119.25649999999999,RCP85,e_hype
96,vaudj,2021,44,131.862,RCP85,e_hype
97,vaudj,2021,45,136.945,RCP85,e_hype
98,vaudj,2021,46,161.45925,RCP85,e_hype
99,vaudj,2021,47,175.16475000000003,RCP85,e_hype
100,vaudj,2021,48,156.0615,RCP85,e_hype
101,vaudj,2021,49,150.66125,RCP85,e_hype
102,vaudj,2021,50,181.499,RCP85,e_hype
103,vaudj,2021,51,163.16075,RCP85,e_hype
104,vaudj,2021,52,150.27275,RCP85,e_hype
105,vaudj,2021,53,230.8845,RCP85,e_hype
106,vaudj,2022,1,173.5575,RCP85,e_hype
107,vaudj,2022,2,217.6965,RCP85,e_hype
108,vaudj,2022,3,360.058,RCP85,e_hype
109,vaudj,2022,4,282.65700000000004,RCP85,e_hype
110,vaudj,2022,5,231.35000000000002,RCP85,e_hype
111,vaudj,2022,6,257.07450000000006,RCP85,e_hype
112,vaudj,2022,7,252.20974999999999,RCP85,e_hype
113,vaudj,2022,8,242.57524999999998,RCP85,e_hype
114,vaudj,2022,9,322.0045,RCP85,e_hype
115,vaudj,2022,10,332.084,RCP85,e_hype
116,vaudj,2022,11,308.98850000000004,RCP85,e_hype
117,vaudj,2022,12,342.58475,RCP85,e_hype
118,vaudj,2022,13,296.47325,RCP85,e_hype
119,vaudj,2022,14,254.856,RCP85,e_hype
120,vaudj,2022,15,267.635,RCP85,e_hype
121,vaudj,2022,16,361.3765,RCP85,e_hype
122,vaudj,2022,17,331.63875,RCP85,e_hype
123,vaudj,2022,18,283.7905,RCP85,e_hype
124,vaudj,2022,19,259.59225,RCP85,e_hype
125,vaudj,2022,20,296.05325,RCP85,e_hype
126,vaudj,2022,21,308.06325,RCP85,e_hype
127,vaudj,2022,22,278.821,RCP85,e_hype
128,vaudj,2022,23,230.82350000000002,RCP85,e_hype
129,vaudj,2022,24,190.5915,RCP85,e_hype
130,vaudj,2022,25,164.43925000000002,RCP85,e_hype
131,vaudj,2022,26,158.85924999999997,RCP85,e_hype
132,vaudj,2022,27,147.39275,RCP85,e_hype
133,vaudj,2022,28,125.78225,RCP85,e_hype
134,vaudj,2022,29,118.68125,RCP85,e_hype
135,vaudj,2022,30,118.46525,RCP85,e_hype
136,vaudj,2022,31,123.0075,RCP85,e_hype
137,vaudj,2022,32,118.51925,RCP85,e_hype
138,vaudj,2022,33,94.1625,RCP85,e_hype
139,vaudj,2022,34,96.858,RCP85,e_hype
140,vaudj,2022,35,88.155,RCP85,e_hype
141,vaudj,2022,36,89.20925,RCP85,e_hype
142,vaudj,2022,37,106.8005,RCP85,e_hype
143,vaudj,2022,38,115.62950000000001,RCP85,e_hype
144,vaudj,2022,39,102.217,RCP85,e_hype
145,vaudj,2022,40,139.54575,RCP85,e_hype
146,vaudj,2022,41,237.572,RCP85,e_hype
147,vaudj,2022,42,188.58,RCP85,e_hype
148,vaudj,2022,43,157.6095,RCP85,e_hype
149,vaudj,2022,44,153.25225,RCP85,e_hype
150,vaudj,2022,45,181.43025,RCP85,e_hype
151,vaudj,2022,46,189.11525,RCP85,e_hype
