scenario,catchment,week,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP45,ALCWTCT1DD,1,0.729,0.14,0.316,0.037,0.043,0.382,0.269,0.162,0.432,0.043,0.507,0.109,0.454,0.043,0.296,0.043,0.043,0.026,0.149,0.043,0.195,0.043,0.087,0.043,0.043,0.043,0.301,0.043,0.043,0.236,0.184,0.419,0.501,0.043,0.571,0.043
RCP45,ALCWTCT1DD,2,0.417,0.398,0.043,0.076,0.043,0.441,0.175,0.276,0.429,0.043,0.504,0.14,0.412,0.043,0.51,0.043,0.043,0.043,0.343,0.043,0.164,0.043,0.442,0.043,0.043,0.463,0.196,0.043,0.043,0.096,0.043,0.016,0.299,0.043,0.365,0.101
RCP45,ALCWTCT1DD,3,0.167,0.024,0.389,0.13,0.101,0.307,0.043,0.225,0.31,0.043,0.326,0.043,0.227,0.479,0.455,0.404,0.043,0.043,0.321,0.067,0.043,0.043,0.262,0.253,0.043,0.49,0.095,0.043,0.459,0.043,0.043,0.043,0.115,0.015,0.315,0.043
RCP45,ALCWTCT1DD,4,0.043,0.116,0.491,0.124,0.025,0.018,0.043,0.043,0.141,0.068,0.151,0.272,0.147,0.043,0.324,0.134,0.043,0.294,0.163,0.043,0.043,0.305,0.214,0.322,0.043,0.459,0.265,0.043,0.451,0.006,0.112,0.043,0.043,0.144,0.388,0.168
RCP45,ALCWTCT1DD,5,0.032,0.168,0.285,0.039,0.043,0.1,0.208,0.114,0.161,0.043,0.097,0.205,0.176,0.043,0.043,0.043,0.043,0.2,0.043,0.028,0.043,0.33,0.406,0.014,0.043,0.357,0.317,0.043,0.396,0.043,0.043,0.127,0.043,0.237,0.342,0.062
RCP45,ALCWTCT1DD,6,0.067,0.111,0.234,0.043,0.043,0.188,0.043,0.043,0.241,0.043,0.281,0.145,0.307,0.043,0.296,0.043,0.043,0.368,0.034,0.479,0.043,0.376,0.206,0.043,0.181,0.167,0.428,0.158,0.369,0.043,0.043,0.043,0.043,0.084,0.271,0.615
RCP45,ALCWTCT1DD,7,0.245,0.009,0.043,0.043,0.288,0.164,0.286,0.043,0.043,0.043,0.126,0.323,0.15,0.122,0.118,0.043,0.02,0.416,0.043,0.19,0.043,0.435,0.172,0.043,0.118,0.145,0.247,0.043,0.135,0.457,0.016,0.043,0.043,0.043,0.058,0.449
RCP45,ALCWTCT1DD,8,0.403,0.294,0.073,0.131,0.387,0.747,0.306,0.043,0.043,0.107,0.026,0.392,0.191,0.131,0.043,0.043,0.229,0.144,0.04,0.229,0.043,0.382,0.076,0.464,0.227,0.129,0.043,0.043,0.043,0.315,0.043,0.043,0.043,0.043,0.043,0.304
RCP45,ALCWTCT1DD,9,0.611,0.3,0.043,0.043,0.04,0.543,0.206,0.043,0.043,0.172,0.051,0.258,0.097,0.043,0.043,0.434,0.275,0.246,0.264,0.139,0.31,0.494,0.334,0.012,0.291,0.3,0.043,0.037,0.243,0.154,0.246,0.043,0.238,0.043,0.043,0.258
RCP45,ALCWTCT1DD,10,0.115,0.365,0.063,0.043,0.44,0.184,0.121,0.113,0.212,0.002,0.197,0.121,0.008,0.179,0.033,0.112,0.043,0.562,0.237,0.297,0.369,0.168,0.477,0.032,0.176,0.124,0.043,0.581,0.043,0.318,0.203,0.043,0.331,0.235,0.043,0.135
