scenario,catchment,week,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP85,MKCWTCT2BD,1,0.185,0.517,0.425,0.16,0.221,0.259,0.295,0.602,0.823,0.256,0.248,0.621,0.607,0.502,0.68,0.234,0.351,0.415,0.295,0.293,0.31,0.385,0.467,0.36,0.56,0.753,0.654,0.843,1.134,0.254,0.439,0.464,0.335,0.333,0.47,0.539
RCP85,MKCWTCT2BD,2,0.232,0.873,0.647,0.142,0.143,0.291,0.219,0.698,0.577,0.434,0.396,0.447,0.573,0.62,0.53,0.399,0.495,0.292,0.375,0.302,0.27,0.284,0.576,0.477,0.464,0.538,0.377,0.464,0.781,0.826,0.459,0.554,0.334,0.547,0.867,0.323
RCP85,MKCWTCT2BD,3,0.75,0.852,0.993,0.518,0.302,0.287,0.215,0.682,0.486,0.422,0.296,0.289,0.647,0.492,0.453,0.507,0.392,0.234,0.358,0.246,0.277,0.328,0.51,0.349,0.525,0.474,0.348,0.456,0.716,0.74,0.334,0.714,0.469,0.492,0.638,0.416
RCP85,MKCWTCT2BD,4,0.609,0.934,0.404,0.441,0.789,0.303,0.452,0.515,0.69,0.271,0.218,0.368,0.447,0.31,0.291,0.395,0.327,0.243,0.252,0.4,0.253,0.403,0.418,0.418,0.825,0.844,0.364,0.5,0.64,0.917,0.375,0.548,0.636,0.342,0.344,0.408
RCP85,MKCWTCT2BD,5,0.915,0.694,0.342,0.387,0.461,0.45,0.477,0.771,1.089,0.197,0.301,0.338,0.516,0.367,0.436,0.775,0.383,0.211,0.274,0.799,0.292,0.24,0.341,0.365,0.847,0.586,0.545,0.603,0.541,0.585,0.304,0.726,0.413,0.49,0.457,0.522
RCP85,MKCWTCT2BD,6,0.684,0.592,0.895,0.706,0.741,0.7,0.631,0.562,0.586,0.163,0.284,0.284,0.519,0.629,0.446,0.548,0.396,0.235,0.245,0.673,0.195,0.199,0.459,0.403,0.572,0.8,0.722,0.696,1.11,0.621,0.472,0.601,0.489,0.488,0.591,0.563
RCP85,MKCWTCT2BD,7,0.437,0.537,1.033,0.453,0.666,0.681,0.902,0.581,0.541,0.288,0.32,0.229,0.844,0.571,0.314,0.345,0.736,0.293,0.313,0.585,0.257,0.411,0.466,0.38,0.445,0.749,0.7,1.187,1.687,0.774,0.485,0.531,0.318,0.542,0.488,0.639
RCP85,MKCWTCT2BD,8,0.288,0.723,0.839,0.911,0.627,0.38,1.074,0.597,0.61,0.371,0.424,0.553,0.573,0.845,0.305,0.579,0.677,0.272,0.347,0.437,0.358,1.096,0.532,0.496,0.365,0.6,0.717,0.781,0.939,0.856,0.589,0.551,0.335,0.394,0.454,0.616
RCP85,MKCWTCT2BD,9,0.281,1.006,0.888,0.981,0.362,0.511,0.978,0.663,0.435,0.497,0.622,0.437,0.554,0.763,0.275,0.826,0.475,0.449,0.53,0.455,0.694,0.903,0.558,0.448,0.323,0.382,0.569,0.878,0.609,0.727,0.625,0.585,0.591,0.608,0.426,0.467
RCP85,MKCWTCT2BD,10,0.374,0.804,0.651,0.639,0.437,0.502,0.653,0.716,0.685,0.633,0.775,0.591,0.561,0.842,0.321,0.751,0.552,0.403,0.444,0.47,0.726,0.768,0.412,0.559,0.225,0.292,0.57,0.802,0.489,0.405,0.465,0.363,0.555,0.423,0.575,0.823
RCP85,MKCWTCT2BD,11,0.349,0.405,0.716,0.886,0.485,0.432,0.798,0.871,0.58,0.689,0.574,0.491,0.55,0.58,0.385,0.961,0.516,0.614,0.236,0.609,0.998,0.769,0.369,0.458,0.229,0.28,0.718,0.818,0.618,0.505,0.586,0.397,0.484,0.296,0.741,0.859
RCP85,MKCWTCT2BD,12,0.314,0.29,0.787,1.019,0.353,0.371,0.733,0.635,0.595,0.874,0.62,0.603,0.686,0.563,0.34,0.859,0.344,0.498,0.414,0.523,1.152,0.831,0.503,0.39,0.35,0.555,0.817,0.796,1.089,0.625,0.729,0.382,0.421,0.224,0.579,0.623
RCP85,MKCWTCT2BD,13,0.375,0.276,0.612,1.056,0.479,0.396,0.428,0.575,0.324,1.042,0.614,0.567,0.738,0.723,0.342,0.429,0.459,0.655,0.391,0.606,0.962,0.676,0.537,0.339,0.339,0.836,0.504,0.544,1.482,0.471,0.621,0.405,0.333,0.302,0.473,0.506
RCP85,MKCWTCT2BD,14,0.367,0.396,0.513,0.859,0.735,0.493,0.317,0.523,0.315,0.711,0.673,0.618,0.633,0.703,0.408,0.499,0.516,0.51,0.607,0.626,0.708,0.371,0.438,0.238,0.32,0.392,0.775,0.356,1.071,0.448,0.734,0.301,0.431,0.439,0.456,0.741
RCP85,MKCWTCT2BD,15,0.362,0.657,1.004,0.643,0.617,0.642,0.392,0.366,0.339,0.55,0.671,1.061,0.574,0.833,0.257,0.648,0.367,0.447,0.47,0.731,0.79,0.356,0.315,0.304,0.286,0.281,0.655,0.224,0.673,0.413,0.675,0.426,0.638,0.298,0.397,0.61
RCP85,MKCWTCT2BD,16,0.249,1.019,1.095,0.475,0.483,0.579,0.369,0.302,0.338,0.614,0.619,1.044,0.587,0.543,0.34,0.838,0.349,0.285,0.39,0.873,0.567,0.336,0.212,0.296,0.201,0.914,0.553,0.325,0.449,0.303,0.546,0.359,0.504,0.262,0.465,0.354
RCP85,MKCWTCT2BD,17,0.328,0.569,0.819,0.428,0.377,0.506,0.305,0.4,0.253,0.649,0.637,0.803,0.609,0.484,0.303,0.847,0.243,0.233,0.39,0.681,0.532,0.44,0.205,0.6,0.502,0.848,0.493,0.451,0.361,0.54,0.686,0.361,0.365,0.552,0.329,0.381
RCP85,MKCWTCT2BD,18,0.385,0.534,0.632,0.446,0.3,0.351,0.282,0.403,0.277,0.706,1.005,0.599,0.471,0.401,0.293,0.667,0.189,0.214,0.323,0.694,0.619,0.462,0.275,0.581,0.394,0.664,0.357,0.354,0.313,0.322,0.416,0.217,0.419,0.293,0.24,0.326
RCP85,MKCWTCT2BD,19,0.225,0.428,0.667,0.355,0.366,0.435,0.31,0.297,0.212,0.804,0.755,0.453,0.375,0.296,0.296,0.615,0.145,0.302,0.236,0.606,0.427,0.372,0.184,0.471,0.217,0.356,0.371,0.247,0.316,0.179,0.192,0.268,0.303,0.203,0.279,0.191
RCP85,MKCWTCT2BD,20,0.185,0.316,0.739,0.264,0.381,0.438,0.299,0.309,0.295,0.437,0.588,0.344,0.475,0.332,0.305,0.449,0.197,0.253,0.192,0.422,0.351,0.206,0.16,0.321,0.226,0.329,0.217,0.281,0.325,0.146,0.149,0.258,0.308,0.179,0.336,0.135
RCP85,MKCWTCT2BD,21,0.286,0.181,0.609,0.263,0.48,0.406,0.302,0.228,0.202,0.222,0.293,0.193,0.405,0.278,0.179,0.394,0.24,0.343,0.232,0.276,0.323,0.128,0.103,0.335,0.211,0.392,0.124,0.29,0.247,0.103,0.203,0.29,0.458,0.247,0.43,0.119
RCP85,MKCWTCT2BD,22,0.185,0.166,0.448,0.231,0.312,0.224,0.332,0.202,0.188,0.143,0.257,0.343,0.211,0.274,0.308,0.248,0.2,0.25,0.29,0.175,0.152,0.092,0.067,0.269,0.266,0.23,0.095,0.245,0.334,0.059,0.2,0.285,0.274,0.146,0.381,0.092
RCP85,MKCWTCT2BD,23,0.095,0.111,0.312,0.123,0.174,0.118,0.197,0.334,0.21,0.203,0.332,0.36,0.243,0.222,0.12,0.153,0.163,0.244,0.146,0.109,0.105,0.178,0.047,0.24,0.206,0.406,0.085,0.134,0.193,0.07,0.219,0.262,0.132,0.181,0.228,0.069
RCP85,MKCWTCT2BD,24,0.111,0.141,0.255,0.101,0.163,0.091,0.135,0.349,0.218,0.106,0.322,0.31,0.328,0.2,0.083,0.098,0.092,0.21,0.087,0.152,0.101,0.112,0.087,0.191,0.11,0.383,0.083,0.135,0.125,0.098,0.106,0.137,0.1,0.142,0.123,0.082
