scenario,catchment,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP85,ALCWTCT1DD,50.908,98.228,27.872,26.052,201.136,174.98,7.124,12.012,159.38,28.444,18.564,224.796,44.252,45.032,40.196,160.888,136.656,25.272,82.576,152.516,48.204,76.544,162.812,76.388,63.908,75.712,96.72,40.716,242.424,27.924,53.092,13.624,2.34,20.228,30.836,26.78
RCP85,ALCWTCT2DD,6.292,72.228,240.552,18.668,19.396,65.104,22.62,190.372,56.004,138.944,30.524,15.756,19.604,171.548,4.264,81.432,33.904,67.184,6.032,32.656,6.032,14.924,4.212,7.124,29.9,35.256,12.116,22.88,24.856,6.604,161.72,22.412,58.292,3.432,33.644,31.096
RCP85,ALCWTCT3DD,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936
RCP85,ALCWTRS1DD,32.136,479.752,3418.376,365.716,832.52,437.84,1102.192,747.552,884.572,1225.692,583.856,250.172,568.724,1481.896,28.496,890.136,1391.52,455.936,384.02,213.668,176.176,94.536,0.0,1383.564,1268.592,3379.116,99.372,490.672,186.784,390.624,1318.876,470.08,201.864,0.0,578.344,338.104
RCP85,ALCWTRS2DD,48.412,615.056,3658.928,384.384,968.24,521.248,1462.604,937.924,1020.76,1687.712,614.38,265.928,714.896,1900.548,32.76,1136.928,1663.272,523.12,569.712,258.492,184.808,179.764,14.768,1576.432,1298.492,3561.896,111.488,565.032,233.948,416.312,1601.08,544.128,260.156,3.432,755.768,467.064
RCP85,ALCWTRS3DD,123.292,854.62,4584.06,1568.06,1525.992,880.828,1969.916,2202.616,1592.968,2250.196,948.428,696.072,1725.464,2230.644,269.412,1562.964,1994.408,745.16,615.576,496.964,270.452,372.58,88.712,1261.416,1745.848,3759.704,388.388,808.028,1188.2,594.048,1831.128,866.268,830.544,199.68,1126.476,563.888
RCP85,MKCWTCT1BD,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988
RCP85,MKCWTCT2BD,67.548,128.492,218.14,106.912,109.46,144.144,120.744,151.996,124.644,179.92,145.6,141.908,119.34,161.2,93.288,118.352,102.388,138.476,94.744,120.744,91.156,95.212,55.12,137.436,95.68,180.804,107.484,212.108,102.128,71.656,191.048,96.096,131.196,82.992,118.3,78.156
RCP85,MKCWTCT3DD,0.832,0.832,171.496,0.832,0.832,0.832,0.832,39.832,0.832,69.316,11.024,0.832,0.832,29.796,0.832,0.832,0.832,0.832,0.832,0.832,0.832,0.832,0.832,0.832,0.832,31.824,0.832,0.832,0.832,0.832,85.852,0.832,11.336,0.832,0.832,0.832
RCP85,MKCWTLK0BD,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58
RCP85,MKCWTRS1BD,45.864,103.584,148.98,76.232,83.824,88.4,100.36,109.044,95.576,113.62,115.804,103.792,101.504,101.608,68.016,85.124,70.772,83.46,55.432,77.584,87.256,89.336,58.084,79.664,65.312,134.16,79.196,96.616,88.192,68.016,97.188,52.936,70.98,51.428,60.892,71.656
RCP85,MKCWTRS2BD,113.412,238.16,367.12,183.144,193.284,232.544,221.728,261.04,220.22,324.22,261.404,245.7,220.844,270.4,161.304,203.944,173.16,228.592,150.176,198.328,178.412,198.692,113.204,217.1,160.992,314.964,197.652,318.812,190.32,139.672,297.804,149.032,202.176,134.42,180.492,151.736
RCP85,MKCWTRS3DD,47.684,216.632,538.616,113.048,126.88,204.152,170.04,300.872,199.42,434.616,272.428,216.06,162.448,300.196,77.116,175.5,117.78,217.36,97.812,175.76,107.744,98.228,26.0,176.072,138.32,397.072,116.896,311.636,88.556,66.092,413.452,87.88,213.512,57.772,144.04,76.544
RCP85,XKCWTRS1WD,242.424,501.124,795.184,294.112,417.352,431.288,459.836,596.284,480.74,554.476,578.812,415.948,465.92,557.024,292.188,549.016,482.56,457.34,349.856,389.272,388.96,302.484,269.1,353.08,384.488,498.108,381.16,444.08,453.128,402.948,547.404,342.472,304.98,259.896,377.988,446.732
