scenario,catchment,week,2020
ref,ALCWTCT3DD,1,0.545
ref,ALCWTCT3DD,2,0.462
ref,ALCWTCT3DD,3,0.567
ref,ALCWTCT3DD,4,0.46
ref,ALCWTCT3DD,5,0.6
ref,ALCWTCT3DD,6,0.404
ref,ALCWTCT3DD,7,0.507
ref,ALCWTCT3DD,8,0.427
ref,ALCWTCT3DD,9,0.522
ref,ALCWTCT3DD,10,0.439
ref,ALCWTCT3DD,11,0.666
ref,ALCWTCT3DD,12,0.533
ref,ALCWTCT3DD,13,0.539
ref,ALCWTCT3DD,14,0.492
ref,ALCWTCT3DD,15,0.705
ref,ALCWTCT3DD,16,1.0
ref,ALCWTCT3DD,17,0.838
ref,ALCWTCT3DD,18,0.556
ref,ALCWTCT3DD,19,0.449
ref,ALCWTCT3DD,20,0.532
ref,ALCWTCT3DD,21,0.369
ref,ALCWTCT3DD,22,0.396
ref,ALCWTCT3DD,23,0.394
ref,ALCWTCT3DD,24,0.313
ref,ALCWTCT3DD,25,0.166
ref,ALCWTCT3DD,26,0.216
ref,ALCWTCT3DD,27,0.451
ref,ALCWTCT3DD,28,0.373
ref,ALCWTCT3DD,29,0.163
ref,ALCWTCT3DD,30,0.168
ref,ALCWTCT3DD,31,0.384
ref,ALCWTCT3DD,32,0.385
ref,ALCWTCT3DD,33,0.265
ref,ALCWTCT3DD,34,0.182
ref,ALCWTCT3DD,35,0.247
ref,ALCWTCT3DD,36,0.438
ref,ALCWTCT3DD,37,0.432
ref,ALCWTCT3DD,38,0.365
ref,ALCWTCT3DD,39,0.549
ref,ALCWTCT3DD,40,0.479
ref,ALCWTCT3DD,41,0.491
ref,ALCWTCT3DD,42,0.497
ref,ALCWTCT3DD,43,0.601
ref,ALCWTCT3DD,44,0.683
ref,ALCWTCT3DD,45,0.415
ref,ALCWTCT3DD,46,0.68
ref,ALCWTCT3DD,47,0.958
ref,ALCWTCT3DD,48,0.728
ref,ALCWTCT3DD,49,0.493
ref,ALCWTCT3DD,50,0.637
ref,ALCWTCT3DD,51,0.796
ref,ALCWTCT3DD,52,0.75
