scenario,catchment,week,2020
ref,XKCWTRS1WD,1,0.561
ref,XKCWTRS1WD,2,0.384
ref,XKCWTRS1WD,3,0.53
ref,XKCWTRS1WD,4,0.605
ref,XKCWTRS1WD,5,0.705
ref,XKCWTRS1WD,6,0.362
ref,XKCWTRS1WD,7,0.618
ref,XKCWTRS1WD,8,0.759
ref,XKCWTRS1WD,9,0.791
ref,XKCWTRS1WD,10,0.37
ref,XKCWTRS1WD,11,0.76
ref,XKCWTRS1WD,12,0.817
ref,XKCWTRS1WD,13,0.906
ref,XKCWTRS1WD,14,0.559
ref,XKCWTRS1WD,15,0.49
ref,XKCWTRS1WD,16,0.62
ref,XKCWTRS1WD,17,0.556
ref,XKCWTRS1WD,18,0.605
ref,XKCWTRS1WD,19,0.312
ref,XKCWTRS1WD,20,0.336
ref,XKCWTRS1WD,21,0.277
ref,XKCWTRS1WD,22,0.45
ref,XKCWTRS1WD,23,0.393
ref,XKCWTRS1WD,24,0.282
ref,XKCWTRS1WD,25,0.163
ref,XKCWTRS1WD,26,0.258
ref,XKCWTRS1WD,27,0.471
ref,XKCWTRS1WD,28,0.281
ref,XKCWTRS1WD,29,0.136
ref,XKCWTRS1WD,30,0.119
ref,XKCWTRS1WD,31,0.459
ref,XKCWTRS1WD,32,0.285
ref,XKCWTRS1WD,33,0.189
ref,XKCWTRS1WD,34,0.106
ref,XKCWTRS1WD,35,0.284
ref,XKCWTRS1WD,36,0.408
ref,XKCWTRS1WD,37,0.293
ref,XKCWTRS1WD,38,0.227
ref,XKCWTRS1WD,39,0.307
ref,XKCWTRS1WD,40,0.484
ref,XKCWTRS1WD,41,0.296
ref,XKCWTRS1WD,42,0.315
ref,XKCWTRS1WD,43,0.296
ref,XKCWTRS1WD,44,0.502
ref,XKCWTRS1WD,45,0.338
ref,XKCWTRS1WD,46,0.49
ref,XKCWTRS1WD,47,0.671
ref,XKCWTRS1WD,48,0.709
ref,XKCWTRS1WD,49,0.409
ref,XKCWTRS1WD,50,0.518
ref,XKCWTRS1WD,51,0.67
ref,XKCWTRS1WD,52,0.771
