,scenario,catchment,ehype_ts_mean,ehype_wk_mean,panta_ts_mean,panta_wk_mean,ehype-panta ts,ehype-panta wk,,ehype_ts_mean,ehype_wk_mean,panta_ts_mean,panta_wk_mean
0,ref,BDCT1,18.12,18.44,3.6,3.75,14.52,14.69,BDCT1,23.15,23.52,30.26,30.53
1,ref,BDCT2,29.66,29.95,22.9,23.7,6.76,6.25,BDCT2,199.44,202.02,285.09,291.47
2,ref,BDCT3,44.2,44.84,35.85,37.16,8.36,7.68,BDCT3,,,,
3,ref,BDRS1,23.15,23.52,29.5,29.78,-6.35,-6.26,BDRS1,,,,
4,ref,BDRS2,52.69,53.34,52.16,53.24,0.53,0.1,BDRS2,,,,
5,ref,BDRS3,89.74,91.12,87.99,90.39,1.74,0.73,BDRS3,,,,
6,ref,DCT1,50.16,50.19,50.38,51.06,-0.22,-0.87,DCT1,,,,
7,ref,DCT2,29.58,29.71,91.99,93.8,-62.41,-64.09,DCT2,,,,
8,ref,DCT3,40.16,40.4,19.71,19.88,20.45,20.53,DCT3,,,,
9,ref,DRS1,169.86,172.31,193.1,197.67,-23.24,-25.37,DRS1,,,,
10,ref,DRS2,199.44,202.01,284.43,290.67,-84.99,-88.65,DRS2,,,,
11,ref,DRS3,236.83,239.67,300.87,307.12,-64.04,-67.44,DRS3,,,,
12,ref,WDRS1,56.11,57.18,67.29,69.32,-11.18,-12.14,WDRS1,,,,
13,ref,ohrid,5.03,5.08,26.66,26.78,-21.63,-21.7,ohrid,,,,
