,Date,year,catchment,REF,RCP26,RCP45,RCP85,RCP26-REF,RCP45-REF,RCP85-REF,RCP26-REF%,RCP45-REF%,RCP85-REF%
0,1981-01-01,1981,fierz,248.9832000732422,187.065,178.9804,184.29275,-61.91820007324219,-70.00280007324218,-64.69045007324218,-24.868424879681847,-28.115471265792145,-25.981853415898136
1,1981-01-02,1981,fierz,234.059799194336,181.4505,175.728,179.5815,-52.60929919433599,-58.331799194335986,-54.47829919433599,-22.476862483614862,-24.921750507828154,-23.27537637042214
2,1981-01-03,1981,fierz,220.7458038330078,175.8235,172.29260000000002,175.085,-44.92230383300782,-48.45320383300779,-45.660803833007805,-20.350241342295742,-21.94977344605028,-20.684789037960506
3,1981-01-04,1981,fierz,210.77540588378903,170.38850000000002,169.2388,170.95775,-40.38690588378901,-41.536605883789036,-39.81765588378903,-19.161109292825333,-19.706571414072016,-18.891035088668023
4,1981-01-05,1981,fierz,206.755599975586,165.2415,166.7664,166.92375,-41.51409997558599,-39.98919997558599,-39.83184997558598,-20.07882735968846,-19.341289899914667,-19.265185552550637
5,1981-01-06,1981,fierz,208.9929962158203,161.0985,164.76420000000002,163.2005,-47.89449621582031,-44.228796215820296,-45.79249621582031,-22.916794860609212,-21.162812638059243,-21.911019529349144
6,1981-01-07,1981,fierz,214.31610107421875,156.548,162.0822,159.15550000000002,-57.76810107421875,-52.23390107421875,-55.16060107421873,-26.954624867038508,-24.372364377854133,-25.737964062306425
7,1981-01-08,1981,fierz,216.64979553222656,152.402,159.52460000000002,155.2705,-64.24779553222658,-57.12519553222654,-61.379295532226564,-29.655137857109004,-26.367528015381485,-28.33111168253857
8,1981-01-09,1981,fierz,215.00570678710932,148.5725,160.40519999999998,151.554,-66.43320678710933,-54.60050678710934,-63.451706787109316,-30.898345806648297,-25.394910490060962,-29.511638428247323
9,1981-01-10,1981,fierz,210.19140625,145.091,163.2246,148.05975,-65.10040624999999,-46.96680624999999,-62.13165624999999,-30.97196379787767,-22.344779497853516,-29.559560668289684
10,1981-01-11,1981,fierz,203.2926025390625,141.9645,165.84920000000002,144.81675,-61.32810253906251,-37.443402539062475,-58.47585253906249,-30.16740489968314,-18.41847763834287,-28.76437795016491
11,1981-01-12,1981,fierz,195.4266967773437,140.066,166.5518,142.2765,-55.36069677734369,-28.874896777343707,-53.150196777343695,-28.32811365604671,-14.775308211979791,-27.19699900464445
12,1981-01-13,1981,fierz,189.76370239257807,140.066,166.1268,140.78325,-49.697702392578066,-23.636902392578065,-48.98045239257806,-26.18925630454068,-12.455966074944445,-25.81128623389135
