,Date,year,catchment,REF,RCP26,RCP45,RCP85,RCP26-REF,RCP45-REF,RCP85-REF,RCP26-REF%,RCP45-REF%,RCP85-REF%
0,1981-01-01,1981,globo,35.41730118,16.897,16.897,16.897,-18.520301180000004,-18.520301180000004,-18.520301180000004,-52.29167825598846,-52.29167825598846,-52.29167825598846
1,1981-01-02,1981,globo,34.20980072,16.897,16.897,16.897,-17.31280072,-17.31280072,-17.31280072,-50.607721634222955,-50.607721634222955,-50.607721634222955
2,1981-01-03,1981,globo,33.20100021,16.897,16.897,16.897,-16.304000209999998,-16.304000209999998,-16.304000209999998,-49.106954931705054,-49.106954931705054,-49.106954931705054
3,1981-01-04,1981,globo,32.02389908,16.897,16.897,16.897,-15.126899080000001,-15.126899080000001,-15.126899080000001,-47.236281385383386,-47.236281385383386,-47.236281385383386
4,1981-01-05,1981,globo,35.8166008,16.897,16.897,16.897,-18.919600800000005,-18.919600800000005,-18.919600800000005,-52.82355214456867,-52.82355214456867,-52.82355214456867
5,1981-01-06,1981,globo,40.78300095,16.897,16.897,16.897,-23.886000950000003,-23.886000950000003,-23.886000950000003,-58.56852216266347,-58.56852216266347,-58.56852216266347
6,1981-01-07,1981,globo,41.78490067,16.897,16.897,16.897,-24.88790067,-24.88790067,-24.88790067,-59.56194766754247,-59.56194766754247,-59.56194766754247
7,1981-01-08,1981,globo,40.10979843,16.897,16.897,16.897,-23.21279843,-23.21279843,-23.21279843,-57.87313658659043,-57.87313658659043,-57.87313658659043
8,1981-01-09,1981,globo,37.94219971,16.337,16.672999999999995,16.616999999999997,-21.605199709999997,-21.269199710000002,-21.32519971,-56.94240153478967,-56.05684402213063,-56.204436940907144
9,1981-01-10,1981,globo,35.91460037,13.9615,15.722799999999998,15.429249999999998,-21.95310037,-20.191800370000003,-20.485350370000006,-61.12583780366313,-56.22170415925473,-57.03905976665613
10,1981-01-11,1981,globo,34.14609909,13.6525,15.5992,15.27475,-20.49359909,-18.54689909,-18.871349090000002,-60.01739477175517,-54.3163043049671,-55.266486049431784
11,1981-01-12,1981,globo,32.61349869,13.329,15.469799999999998,15.112999999999998,-19.28449869,-17.14369869,-17.50049869,-59.13041980961411,-52.566266664473595,-53.660292188663675
12,1981-01-13,1981,globo,31.35490036,13.0455,15.3564,14.97125,-18.309400359999998,-15.998500359999998,-16.383650359999997,-58.39406328765639,-51.02392345794078,-52.25228009622671
13,1981-01-14,1981,globo,31.96719933,12.7765,15.2488,14.83675,-19.19069933,-16.71839933,-17.130449329999998,-60.032469944873334,-52.298605071450275,-53.58758255035412
14,1981-01-15,1981,globo,35.34220123,12.555,15.160199999999998,14.726,-22.78720123,-20.182001230000004,-20.61620123,-64.47589690779427,-57.104539410716285,-58.3330989935626
15,1981-01-16,1981,globo,38.53350067,12.3355,15.072399999999998,14.61625,-26.198000670000003,-23.461100670000004,-23.91725067,-67.98759576597794,-60.884944949383964,-62.06872008548295
16,1981-01-17,1981,globo,42.67630005,12.174,15.007799999999998,14.5355,-30.502300050000002,-27.668500050000006,-28.140800050000003,-71.47362825330028,-64.83340874814193,-65.94011199900166
17,1981-01-18,1981,globo,44.83349991,12.015999999999998,14.944599999999998,14.456499999999998,-32.81749991,-29.888899910000003,-30.376999910000002,-73.19861259076083,-66.66644355225401,-67.75513839200514
18,1981-01-19,1981,globo,43.34170151,11.8585,14.881599999999995,14.37775,-31.48320151,-28.460101510000005,-28.96395151,-72.63951440101181,-65.66447674748892,-66.82698302307605
