,Date,value,catchment,scenario,model
0,1981-01-01,35.41730118,globo,REF,e_hype
1,1981-01-02,34.20980072,globo,REF,e_hype
2,1981-01-03,33.20100021,globo,REF,e_hype
3,1981-01-04,32.02389908,globo,REF,e_hype
4,1981-01-05,35.8166008,globo,REF,e_hype
5,1981-01-06,40.78300095,globo,REF,e_hype
6,1981-01-07,41.78490067,globo,REF,e_hype
7,1981-01-08,40.10979843,globo,REF,e_hype
8,1981-01-09,37.94219971,globo,REF,e_hype
9,1981-01-10,35.91460037,globo,REF,e_hype
10,1981-01-11,34.14609909,globo,REF,e_hype
11,1981-01-12,32.61349869,globo,REF,e_hype
12,1981-01-13,31.35490036,globo,REF,e_hype
13,1981-01-14,31.96719933,globo,REF,e_hype
14,1981-01-15,35.34220123,globo,REF,e_hype
15,1981-01-16,38.53350067,globo,REF,e_hype
16,1981-01-17,42.67630005,globo,REF,e_hype
17,1981-01-18,44.83349991,globo,REF,e_hype
18,1981-01-19,43.34170151,globo,REF,e_hype
19,1981-01-20,40.86500168,globo,REF,e_hype
20,1981-01-21,38.60200119,globo,REF,e_hype
21,1981-01-22,36.53820038,globo,REF,e_hype
22,1981-01-23,34.73419952,globo,REF,e_hype
23,1981-01-24,33.25839996,globo,REF,e_hype
24,1981-01-25,32.07649994,globo,REF,e_hype
25,1981-01-26,31.03580093,globo,REF,e_hype
26,1981-01-27,30.11919975,globo,REF,e_hype
27,1981-01-28,29.2791996,globo,REF,e_hype
28,1981-01-29,28.53450012,globo,REF,e_hype
29,1981-01-30,27.81360054,globo,REF,e_hype
30,1981-01-31,27.12479973,globo,REF,e_hype
31,1981-02-01,26.46999931,globo,REF,e_hype
32,1981-02-02,25.83670044,globo,REF,e_hype
33,1981-02-03,25.57060051,globo,REF,e_hype
34,1981-02-04,25.4673996,globo,REF,e_hype
35,1981-02-05,37.83509827,globo,REF,e_hype
36,1981-02-06,48.82369995,globo,REF,e_hype
37,1981-02-07,47.62620163,globo,REF,e_hype
38,1981-02-08,43.83359909,globo,REF,e_hype
39,1981-02-09,40.55979919,globo,REF,e_hype
40,1981-02-10,40.44070053,globo,REF,e_hype
41,1981-02-11,41.52659988,globo,REF,e_hype
42,1981-02-12,45.03609848,globo,REF,e_hype
43,1981-02-13,54.78350067,globo,REF,e_hype
44,1981-02-14,66.66110229,globo,REF,e_hype
45,1981-02-15,68.89009857,globo,REF,e_hype
46,1981-02-16,64.3443985,globo,REF,e_hype
47,1981-02-17,57.94869995,globo,REF,e_hype
48,1981-02-18,52.0265007,globo,REF,e_hype
49,1981-02-19,47.64920044,globo,REF,e_hype
50,1981-02-20,44.56890106,globo,REF,e_hype
51,1981-02-21,50.03630066,globo,REF,e_hype
52,1981-02-22,55.53960037,globo,REF,e_hype
53,1981-02-23,59.82960129,globo,REF,e_hype
54,1981-02-24,61.58459854,globo,REF,e_hype
55,1981-02-25,59.6637001,globo,REF,e_hype
56,1981-02-26,57.83710098,globo,REF,e_hype
57,1981-02-27,54.96239853,globo,REF,e_hype
58,1981-02-28,51.71920013,globo,REF,e_hype
59,1981-03-01,48.62639999,globo,REF,e_hype
60,1981-03-02,45.97480011,globo,REF,e_hype
61,1981-03-03,52.8783989,globo,REF,e_hype
62,1981-03-04,70.20980072,globo,REF,e_hype
63,1981-03-05,79.54109955,globo,REF,e_hype
64,1981-03-06,81.50140381,globo,REF,e_hype
65,1981-03-07,78.88809967,globo,REF,e_hype
66,1981-03-08,73.05979919,globo,REF,e_hype
67,1981-03-09,66.09799957,globo,REF,e_hype
68,1981-03-10,59.50719833,globo,REF,e_hype
69,1981-03-11,54.21450043,globo,REF,e_hype
70,1981-03-12,50.11800003,globo,REF,e_hype
71,1981-03-13,47.04779816,globo,REF,e_hype
72,1981-03-14,45.27069855,globo,REF,e_hype
73,1981-03-15,45.67789841,globo,REF,e_hype
74,1981-03-16,46.12310028,globo,REF,e_hype
75,1981-03-17,45.95589828,globo,REF,e_hype
76,1981-03-18,45.26179886,globo,REF,e_hype
77,1981-03-19,77.40229797,globo,REF,e_hype
78,1981-03-20,95.63439941,globo,REF,e_hype
79,1981-03-21,87.57389832,globo,REF,e_hype
80,1981-03-22,77.4240036,globo,REF,e_hype
81,1981-03-23,68.40039825,globo,REF,e_hype
82,1981-03-24,61.520401,globo,REF,e_hype
83,1981-03-25,56.36109924,globo,REF,e_hype
84,1981-03-26,52.19129944,globo,REF,e_hype
85,1981-03-27,48.58810043,globo,REF,e_hype
86,1981-03-28,45.6108017,globo,REF,e_hype
87,1981-03-29,42.9681015,globo,REF,e_hype
88,1981-03-30,40.59899902,globo,REF,e_hype
89,1981-03-31,38.58499908,globo,REF,e_hype
90,1981-04-01,36.99739838,globo,REF,e_hype
91,1981-04-02,35.72180176,globo,REF,e_hype
92,1981-04-03,34.81420135,globo,REF,e_hype
93,1981-04-04,34.22389984,globo,REF,e_hype
94,1981-04-05,33.67539978,globo,REF,e_hype
95,1981-04-06,32.8885994,globo,REF,e_hype
96,1981-04-07,31.96299934,globo,REF,e_hype
97,1981-04-08,30.99690056,globo,REF,e_hype
98,1981-04-09,30.0496006,globo,REF,e_hype
99,1981-04-10,29.27169991,globo,REF,e_hype
100,1981-04-11,28.81570053,globo,REF,e_hype
101,1981-04-12,29.24950027,globo,REF,e_hype
102,1981-04-13,30.53730011,globo,REF,e_hype
103,1981-04-14,31.05179977,globo,REF,e_hype
104,1981-04-15,30.46080017,globo,REF,e_hype
105,1981-04-16,29.55109978,globo,REF,e_hype
106,1981-04-17,28.8397007,globo,REF,e_hype
107,1981-04-18,28.2730999,globo,REF,e_hype
108,1981-04-19,28.05699921,globo,REF,e_hype
109,1981-04-20,28.11669922,globo,REF,e_hype
110,1981-04-21,28.0904007,globo,REF,e_hype
111,1981-04-22,27.62619972,globo,REF,e_hype
112,1981-04-23,26.88369942,globo,REF,e_hype
113,1981-04-24,26.03639984,globo,REF,e_hype
114,1981-04-25,25.28549957,globo,REF,e_hype
115,1981-04-26,24.63540077,globo,REF,e_hype
116,1981-04-27,24.42609978,globo,REF,e_hype
