,Unnamed: 0,Date,value,catchment,scenario,model
0,0,1981-01-01,319.8027038574219,vaudj,REF,e_hype
1,1,1981-01-02,302.6654052734375,vaudj,REF,e_hype
2,2,1981-01-03,286.1141052246094,vaudj,REF,e_hype
3,3,1981-01-04,278.2538146972656,vaudj,REF,e_hype
4,4,1981-01-05,273.1083068847656,vaudj,REF,e_hype
5,5,1981-01-06,265.9283142089844,vaudj,REF,e_hype
6,6,1981-01-07,259.4075927734375,vaudj,REF,e_hype
7,7,1981-01-08,254.3798065185547,vaudj,REF,e_hype
8,8,1981-01-09,249.8654937744141,vaudj,REF,e_hype
9,9,1981-01-10,245.0419006347656,vaudj,REF,e_hype
10,10,1981-01-11,239.62649536132807,vaudj,REF,e_hype
11,11,1981-01-12,233.80059814453125,vaudj,REF,e_hype
12,12,1981-01-13,242.13909912109372,vaudj,REF,e_hype
13,13,1981-01-14,250.3988037109375,vaudj,REF,e_hype
14,14,1981-01-15,252.43460083007807,vaudj,REF,e_hype
15,15,1981-01-16,263.6585998535156,vaudj,REF,e_hype
16,16,1981-01-17,261.11669921875,vaudj,REF,e_hype
17,17,1981-01-18,258.7677001953125,vaudj,REF,e_hype
18,18,1981-01-19,254.3121032714844,vaudj,REF,e_hype
19,19,1981-01-20,250.1360015869141,vaudj,REF,e_hype
20,20,1981-01-21,244.3544006347656,vaudj,REF,e_hype
21,21,1981-01-22,237.6938934326172,vaudj,REF,e_hype
22,22,1981-01-23,230.32989501953125,vaudj,REF,e_hype
23,23,1981-01-24,222.8836975097656,vaudj,REF,e_hype
24,24,1981-01-25,214.8955993652344,vaudj,REF,e_hype
25,25,1981-01-26,206.79649353027344,vaudj,REF,e_hype
26,26,1981-01-27,198.7666015625,vaudj,REF,e_hype
27,27,1981-01-28,190.9196929931641,vaudj,REF,e_hype
28,28,1981-01-29,183.35189819335935,vaudj,REF,e_hype
29,29,1981-01-30,176.11669921875,vaudj,REF,e_hype
30,30,1981-01-31,169.74899291992188,vaudj,REF,e_hype
31,31,1981-02-01,164.6407012939453,vaudj,REF,e_hype
32,32,1981-02-02,161.0841064453125,vaudj,REF,e_hype
33,33,1981-02-03,158.44790649414062,vaudj,REF,e_hype
34,34,1981-02-04,160.2816925048828,vaudj,REF,e_hype
35,35,1981-02-05,198.1573028564453,vaudj,REF,e_hype
36,36,1981-02-06,206.49630737304688,vaudj,REF,e_hype
37,37,1981-02-07,216.31069946289065,vaudj,REF,e_hype
38,38,1981-02-08,227.0128936767578,vaudj,REF,e_hype
39,39,1981-02-09,237.06809997558597,vaudj,REF,e_hype
40,40,1981-02-10,245.7324981689453,vaudj,REF,e_hype
41,41,1981-02-11,253.91380310058597,vaudj,REF,e_hype
42,42,1981-02-12,282.989013671875,vaudj,REF,e_hype
43,43,1981-02-13,309.1087951660156,vaudj,REF,e_hype
44,44,1981-02-14,335.3230895996094,vaudj,REF,e_hype
45,45,1981-02-15,355.4927062988281,vaudj,REF,e_hype
46,46,1981-02-16,369.5409851074219,vaudj,REF,e_hype
47,47,1981-02-17,376.1487121582031,vaudj,REF,e_hype
48,48,1981-02-18,375.01220703125,vaudj,REF,e_hype
49,49,1981-02-19,367.6852111816406,vaudj,REF,e_hype
50,50,1981-02-20,357.1852111816406,vaudj,REF,e_hype
51,51,1981-02-21,358.4573059082031,vaudj,REF,e_hype
52,52,1981-02-22,345.96929931640625,vaudj,REF,e_hype
53,53,1981-02-23,335.5793151855469,vaudj,REF,e_hype
54,54,1981-02-24,329.62811279296875,vaudj,REF,e_hype
55,55,1981-02-25,326.33770751953125,vaudj,REF,e_hype
56,56,1981-02-26,324.1669006347656,vaudj,REF,e_hype
57,57,1981-02-27,319.2372131347656,vaudj,REF,e_hype
58,58,1981-02-28,311.9512023925781,vaudj,REF,e_hype
59,59,1981-03-01,302.2820129394531,vaudj,REF,e_hype
60,60,1981-03-02,295.49591064453125,vaudj,REF,e_hype
61,61,1981-03-03,328.6673889160156,vaudj,REF,e_hype
62,62,1981-03-04,384.8814086914063,vaudj,REF,e_hype
63,63,1981-03-05,426.224609375,vaudj,REF,e_hype
64,64,1981-03-06,463.8955993652344,vaudj,REF,e_hype
65,65,1981-03-07,495.6246948242188,vaudj,REF,e_hype
66,66,1981-03-08,514.9805297851562,vaudj,REF,e_hype
67,67,1981-03-09,520.2324829101562,vaudj,REF,e_hype
68,68,1981-03-10,514.9249267578125,vaudj,REF,e_hype
69,69,1981-03-11,505.5841064453125,vaudj,REF,e_hype
70,70,1981-03-12,497.9193115234375,vaudj,REF,e_hype
71,71,1981-03-13,501.20208740234375,vaudj,REF,e_hype
72,72,1981-03-14,521.9271850585938,vaudj,REF,e_hype
73,73,1981-03-15,547.1035766601562,vaudj,REF,e_hype
74,74,1981-03-16,573.8411865234375,vaudj,REF,e_hype
75,75,1981-03-17,596.3651123046875,vaudj,REF,e_hype
76,76,1981-03-18,622.7725219726562,vaudj,REF,e_hype
77,77,1981-03-19,692.1290283203125,vaudj,REF,e_hype
78,78,1981-03-20,741.9666137695312,vaudj,REF,e_hype
79,79,1981-03-21,779.781005859375,vaudj,REF,e_hype
80,80,1981-03-22,795.9105834960938,vaudj,REF,e_hype
81,81,1981-03-23,788.5150146484375,vaudj,REF,e_hype
82,82,1981-03-24,763.9384765625,vaudj,REF,e_hype
83,83,1981-03-25,730.7418823242188,vaudj,REF,e_hype
84,84,1981-03-26,698.3552856445312,vaudj,REF,e_hype
85,85,1981-03-27,673.5001220703125,vaudj,REF,e_hype
86,86,1981-03-28,656.975830078125,vaudj,REF,e_hype
87,87,1981-03-29,646.3947143554688,vaudj,REF,e_hype
88,88,1981-03-30,639.8507080078125,vaudj,REF,e_hype
89,89,1981-03-31,635.3425903320312,vaudj,REF,e_hype
90,90,1981-04-01,628.45458984375,vaudj,REF,e_hype
91,91,1981-04-02,616.7808837890625,vaudj,REF,e_hype
92,92,1981-04-03,599.8416137695312,vaudj,REF,e_hype
93,93,1981-04-04,575.7597045898438,vaudj,REF,e_hype
94,94,1981-04-05,545.9611206054688,vaudj,REF,e_hype
95,95,1981-04-06,513.8795166015625,vaudj,REF,e_hype
96,96,1981-04-07,483.0278930664063,vaudj,REF,e_hype
97,97,1981-04-08,455.2803039550781,vaudj,REF,e_hype
98,98,1981-04-09,431.198486328125,vaudj,REF,e_hype
99,99,1981-04-10,411.5006103515625,vaudj,REF,e_hype
100,100,1981-04-11,395.0950927734375,vaudj,REF,e_hype
101,101,1981-04-12,380.039306640625,vaudj,REF,e_hype
102,102,1981-04-13,365.2311096191406,vaudj,REF,e_hype
103,103,1981-04-14,352.7764892578125,vaudj,REF,e_hype
104,104,1981-04-15,343.5783996582031,vaudj,REF,e_hype
105,105,1981-04-16,336.3297119140625,vaudj,REF,e_hype
106,106,1981-04-17,335.4800109863281,vaudj,REF,e_hype
107,107,1981-04-18,363.4714965820313,vaudj,REF,e_hype
108,108,1981-04-19,385.74749755859375,vaudj,REF,e_hype
109,109,1981-04-20,394.9233093261719,vaudj,REF,e_hype
110,110,1981-04-21,391.7966918945313,vaudj,REF,e_hype
111,111,1981-04-22,380.5716857910156,vaudj,REF,e_hype
112,112,1981-04-23,367.15130615234375,vaudj,REF,e_hype
113,113,1981-04-24,358.2890014648437,vaudj,REF,e_hype
114,114,1981-04-25,354.893310546875,vaudj,REF,e_hype
115,115,1981-04-26,352.6044921875,vaudj,REF,e_hype
116,116,1981-04-27,369.8757019042969,vaudj,REF,e_hype
117,117,1981-04-28,375.8482971191406,vaudj,REF,e_hype
118,118,1981-04-29,373.53118896484375,vaudj,REF,e_hype
119,119,1981-04-30,364.0546875,vaudj,REF,e_hype
120,120,1981-05-01,350.0072937011719,vaudj,REF,e_hype
121,121,1981-05-02,335.1093139648437,vaudj,REF,e_hype
122,122,1981-05-03,321.1177062988281,vaudj,REF,e_hype
123,123,1981-05-04,340.0560913085937,vaudj,REF,e_hype
124,124,1981-05-05,387.4494934082031,vaudj,REF,e_hype
125,125,1981-05-06,404.9798889160156,vaudj,REF,e_hype
126,126,1981-05-07,407.7497863769531,vaudj,REF,e_hype
127,127,1981-05-08,399.0617980957031,vaudj,REF,e_hype
128,128,1981-05-09,383.7485961914063,vaudj,REF,e_hype
129,129,1981-05-10,365.22601318359375,vaudj,REF,e_hype
130,130,1981-05-11,347.5116882324219,vaudj,REF,e_hype
131,131,1981-05-12,343.22100830078125,vaudj,REF,e_hype
132,132,1981-05-13,335.8684997558594,vaudj,REF,e_hype
133,133,1981-05-14,326.15478515625,vaudj,REF,e_hype
134,134,1981-05-15,314.96649169921875,vaudj,REF,e_hype
135,135,1981-05-16,310.0486145019531,vaudj,REF,e_hype
136,136,1981-05-17,305.1557006835937,vaudj,REF,e_hype
137,137,1981-05-18,299.5010070800781,vaudj,REF,e_hype
138,138,1981-05-19,292.4992980957031,vaudj,REF,e_hype
139,139,1981-05-20,283.7875061035156,vaudj,REF,e_hype
