model,scenario,year,catchment,month,week,value
ehype,ref,2020,BDCT2,1,1,33.246
ehype,ref,2020,BDCT2,1,2,26.2
ehype,ref,2020,BDCT2,1,3,22.935
ehype,ref,2020,BDCT2,1,4,26.953
ehype,ref,2020,BDCT2,1,5,37.604
ehype,ref,2020,BDCT2,2,6,23.501
ehype,ref,2020,BDCT2,2,7,30.726
ehype,ref,2020,BDCT2,2,8,33.32
ehype,ref,2020,BDCT2,2,9,41.576
ehype,ref,2020,BDCT2,3,10,23.248
ehype,ref,2020,BDCT2,3,11,41.38
ehype,ref,2020,BDCT2,3,12,47.701
ehype,ref,2020,BDCT2,3,13,58.929
ehype,ref,2020,BDCT2,4,14,33.9
ehype,ref,2020,BDCT2,4,15,38.965
ehype,ref,2020,BDCT2,4,16,46.208
ehype,ref,2020,BDCT2,4,17,35.948
ehype,ref,2020,BDCT2,5,18,36.671
ehype,ref,2020,BDCT2,5,19,20.144
ehype,ref,2020,BDCT2,5,20,15.406
ehype,ref,2020,BDCT2,5,21,11.367
ehype,ref,2020,BDCT2,5,22,23.082
ehype,ref,2020,BDCT2,6,23,23.117
ehype,ref,2020,BDCT2,6,24,17.982
ehype,ref,2020,BDCT2,6,25,6.453
ehype,ref,2020,BDCT2,6,26,10.566
ehype,ref,2020,BDCT2,7,27,26.985
ehype,ref,2020,BDCT2,7,28,19.388
ehype,ref,2020,BDCT2,7,29,3.449
ehype,ref,2020,BDCT2,7,30,3.92
ehype,ref,2020,BDCT2,8,31,25.262
ehype,ref,2020,BDCT2,8,32,19.818
ehype,ref,2020,BDCT2,8,33,11.868
ehype,ref,2020,BDCT2,8,34,5.502
ehype,ref,2020,BDCT2,8,35,14.911
ehype,ref,2020,BDCT2,9,36,24.251
ehype,ref,2020,BDCT2,9,37,22.341
ehype,ref,2020,BDCT2,9,38,18.939
ehype,ref,2020,BDCT2,9,39,24.773
ehype,ref,2020,BDCT2,10,40,29.521
ehype,ref,2020,BDCT2,10,41,24.829
ehype,ref,2020,BDCT2,10,42,33.484
ehype,ref,2020,BDCT2,10,43,29.959
ehype,ref,2020,BDCT2,10,44,36.318
ehype,ref,2020,BDCT2,11,45,24.157
ehype,ref,2020,BDCT2,11,46,49.71
ehype,ref,2020,BDCT2,11,47,73.534
ehype,ref,2020,BDCT2,11,48,55.499
ehype,ref,2020,BDCT2,12,49,24.821
ehype,ref,2020,BDCT2,12,50,38.571
ehype,ref,2020,BDCT2,12,51,46.726
ehype,ref,2020,BDCT2,12,52,49.866
