model,scenario,year,catchment,month,week,value
ehype,ref,2020,BDRS1,1,1,27.818
ehype,ref,2020,BDRS1,1,2,18.98
ehype,ref,2020,BDRS1,1,3,29.396
ehype,ref,2020,BDRS1,1,4,32.615
ehype,ref,2020,BDRS1,1,5,34.555
ehype,ref,2020,BDRS1,2,6,19.051
ehype,ref,2020,BDRS1,2,7,32.262
ehype,ref,2020,BDRS1,2,8,40.251
ehype,ref,2020,BDRS1,2,9,39.198
ehype,ref,2020,BDRS1,3,10,19.447
ehype,ref,2020,BDRS1,3,11,35.07
ehype,ref,2020,BDRS1,3,12,41.853
ehype,ref,2020,BDRS1,3,13,40.179
ehype,ref,2020,BDRS1,4,14,28.033
ehype,ref,2020,BDRS1,4,15,21.259
ehype,ref,2020,BDRS1,4,16,32.592
ehype,ref,2020,BDRS1,4,17,30.656
ehype,ref,2020,BDRS1,5,18,31.67
ehype,ref,2020,BDRS1,5,19,16.537
ehype,ref,2020,BDRS1,5,20,23.027
ehype,ref,2020,BDRS1,5,21,23.225
ehype,ref,2020,BDRS1,5,22,26.98
ehype,ref,2020,BDRS1,6,23,21.512
ehype,ref,2020,BDRS1,6,24,16.669
ehype,ref,2020,BDRS1,6,25,16.819
ehype,ref,2020,BDRS1,6,26,19.31
ehype,ref,2020,BDRS1,7,27,25.891
ehype,ref,2020,BDRS1,7,28,13.527
ehype,ref,2020,BDRS1,7,29,13.062
ehype,ref,2020,BDRS1,7,30,12.172
ehype,ref,2020,BDRS1,8,31,25.054
ehype,ref,2020,BDRS1,8,32,15.187
ehype,ref,2020,BDRS1,8,33,9.543
ehype,ref,2020,BDRS1,8,34,6.245
ehype,ref,2020,BDRS1,8,35,13.345
ehype,ref,2020,BDRS1,9,36,22.32
ehype,ref,2020,BDRS1,9,37,9.326
ehype,ref,2020,BDRS1,9,38,5.669
ehype,ref,2020,BDRS1,9,39,9.326
ehype,ref,2020,BDRS1,10,40,24.679
ehype,ref,2020,BDRS1,10,41,11.776
ehype,ref,2020,BDRS1,10,42,10.287
ehype,ref,2020,BDRS1,10,43,10.855
ehype,ref,2020,BDRS1,10,44,22.977
ehype,ref,2020,BDRS1,11,45,17.262
ehype,ref,2020,BDRS1,11,46,14.695
ehype,ref,2020,BDRS1,11,47,17.321
ehype,ref,2020,BDRS1,11,48,25.933
ehype,ref,2020,BDRS1,12,49,22.181
ehype,ref,2020,BDRS1,12,50,17.458
ehype,ref,2020,BDRS1,12,51,24.866
ehype,ref,2020,BDRS1,12,52,29.869
