model,scenario,year,catchment,month,week,value
ehype,ref,2020,DRS2,1,1,242.392
ehype,ref,2020,DRS2,1,2,164.099
ehype,ref,2020,DRS2,1,3,207.556
ehype,ref,2020,DRS2,1,4,207.912
ehype,ref,2020,DRS2,1,5,263.219
ehype,ref,2020,DRS2,2,6,167.326
ehype,ref,2020,DRS2,2,7,218.475
ehype,ref,2020,DRS2,2,8,244.01
ehype,ref,2020,DRS2,2,9,283.199
ehype,ref,2020,DRS2,3,10,172.899
ehype,ref,2020,DRS2,3,11,284.513
ehype,ref,2020,DRS2,3,12,322.931
ehype,ref,2020,DRS2,3,13,354.691
ehype,ref,2020,DRS2,4,14,245.47
ehype,ref,2020,DRS2,4,15,232.786
ehype,ref,2020,DRS2,4,16,319.219
ehype,ref,2020,DRS2,4,17,281.18
ehype,ref,2020,DRS2,5,18,257.863
ehype,ref,2020,DRS2,5,19,154.985
ehype,ref,2020,DRS2,5,20,191.754
ehype,ref,2020,DRS2,5,21,171.058
ehype,ref,2020,DRS2,5,22,212.318
ehype,ref,2020,DRS2,6,23,181.014
ehype,ref,2020,DRS2,6,24,153.312
ehype,ref,2020,DRS2,6,25,134.969
ehype,ref,2020,DRS2,6,26,153.123
ehype,ref,2020,DRS2,7,27,218.648
ehype,ref,2020,DRS2,7,28,133.691
ehype,ref,2020,DRS2,7,29,97.151
ehype,ref,2020,DRS2,7,30,85.919
ehype,ref,2020,DRS2,8,31,200.832
ehype,ref,2020,DRS2,8,32,142.06
ehype,ref,2020,DRS2,8,33,76.76
ehype,ref,2020,DRS2,8,34,39.096
ehype,ref,2020,DRS2,8,35,110.94
ehype,ref,2020,DRS2,9,36,189.509
ehype,ref,2020,DRS2,9,37,114.201
ehype,ref,2020,DRS2,9,38,90.857
ehype,ref,2020,DRS2,9,39,105.268
ehype,ref,2020,DRS2,10,40,216.059
ehype,ref,2020,DRS2,10,41,132.589
ehype,ref,2020,DRS2,10,42,146.612
ehype,ref,2020,DRS2,10,43,138.104
ehype,ref,2020,DRS2,10,44,209.148
ehype,ref,2020,DRS2,11,45,161.797
ehype,ref,2020,DRS2,11,46,192.756
ehype,ref,2020,DRS2,11,47,218.878
ehype,ref,2020,DRS2,11,48,274.312
ehype,ref,2020,DRS2,12,49,189.056
ehype,ref,2020,DRS2,12,50,202.541
ehype,ref,2020,DRS2,12,51,259.771
ehype,ref,2020,DRS2,12,52,272.668
