scenario,country,tech,type,year,value
RCP26,Albania,ALCWTCT1DD,cathcment,2020,926.04
RCP26,Albania,ALCWTCT1DD,cathcment,2021,841.34
RCP26,Albania,ALCWTCT1DD,cathcment,2022,1148.12
RCP26,Albania,ALCWTCT1DD,cathcment,2023,857.3
RCP26,Albania,ALCWTCT1DD,cathcment,2024,737.08
RCP26,Albania,ALCWTCT1DD,cathcment,2025,675.64
RCP26,Albania,ALCWTCT1DD,cathcment,2026,1448.05
RCP26,Albania,ALCWTCT1DD,cathcment,2027,873.41
RCP26,Albania,ALCWTCT1DD,cathcment,2028,786.75
RCP26,Albania,ALCWTCT1DD,cathcment,2029,885.11
RCP26,Albania,ALCWTCT1DD,cathcment,2030,1232.59
RCP26,Albania,ALCWTCT1DD,cathcment,2031,520.21
RCP26,Albania,ALCWTCT1DD,cathcment,2032,801.59
RCP26,Albania,ALCWTCT1DD,cathcment,2033,723.92
RCP26,Albania,ALCWTCT1DD,cathcment,2034,1231.98
RCP26,Albania,ALCWTCT1DD,cathcment,2035,1031.51
RCP26,Albania,ALCWTCT1DD,cathcment,2036,725.48
RCP26,Albania,ALCWTCT1DD,cathcment,2037,596.73
RCP26,Albania,ALCWTCT1DD,cathcment,2038,1337.54
RCP26,Albania,ALCWTCT1DD,cathcment,2039,1381.55
RCP26,Albania,ALCWTCT1DD,cathcment,2040,377.08
RCP26,Albania,ALCWTCT1DD,cathcment,2041,904.6
RCP26,Albania,ALCWTCT1DD,cathcment,2042,1201.84
RCP26,Albania,ALCWTCT1DD,cathcment,2043,511.99
RCP26,Albania,ALCWTCT1DD,cathcment,2044,610.61
RCP26,Albania,ALCWTCT1DD,cathcment,2045,875.16
RCP26,Albania,ALCWTCT1DD,cathcment,2046,1034.14
RCP26,Albania,ALCWTCT1DD,cathcment,2047,750.35
RCP26,Albania,ALCWTCT1DD,cathcment,2048,441.36
RCP26,Albania,ALCWTCT1DD,cathcment,2049,775.07
RCP26,Albania,ALCWTCT1DD,cathcment,2050,536.41
RCP26,Albania,ALCWTCT2DD,cathcment,2020,712.05
RCP26,Albania,ALCWTCT2DD,cathcment,2021,714.76
RCP26,Albania,ALCWTCT2DD,cathcment,2022,1153.29
RCP26,Albania,ALCWTCT2DD,cathcment,2023,590.47
RCP26,Albania,ALCWTCT2DD,cathcment,2024,437.96
RCP26,Albania,ALCWTCT2DD,cathcment,2025,583.37
RCP26,Albania,ALCWTCT2DD,cathcment,2026,1411.0
RCP26,Albania,ALCWTCT2DD,cathcment,2027,343.2
RCP26,Albania,ALCWTCT2DD,cathcment,2028,336.19
RCP26,Albania,ALCWTCT2DD,cathcment,2029,746.87
RCP26,Albania,ALCWTCT2DD,cathcment,2030,902.79
RCP26,Albania,ALCWTCT2DD,cathcment,2031,391.43
RCP26,Albania,ALCWTCT2DD,cathcment,2032,810.16
RCP26,Albania,ALCWTCT2DD,cathcment,2033,592.72
RCP26,Albania,ALCWTCT2DD,cathcment,2034,867.71
RCP26,Albania,ALCWTCT2DD,cathcment,2035,824.77
RCP26,Albania,ALCWTCT2DD,cathcment,2036,393.08
RCP26,Albania,ALCWTCT2DD,cathcment,2037,992.22
RCP26,Albania,ALCWTCT2DD,cathcment,2038,780.73
RCP26,Albania,ALCWTCT2DD,cathcment,2039,1103.47
RCP26,Albania,ALCWTCT2DD,cathcment,2040,484.18
RCP26,Albania,ALCWTCT2DD,cathcment,2041,718.41
RCP26,Albania,ALCWTCT2DD,cathcment,2042,988.23
RCP26,Albania,ALCWTCT2DD,cathcment,2043,280.31
RCP26,Albania,ALCWTCT2DD,cathcment,2044,566.77
RCP26,Albania,ALCWTCT2DD,cathcment,2045,984.42
RCP26,Albania,ALCWTCT2DD,cathcment,2046,552.64
RCP26,Albania,ALCWTCT2DD,cathcment,2047,340.79
RCP26,Albania,ALCWTCT2DD,cathcment,2048,511.03
RCP26,Albania,ALCWTCT2DD,cathcment,2049,808.53
RCP26,Albania,ALCWTCT2DD,cathcment,2050,502.8
RCP26,Albania,ALCWTCT3DD,cathcment,2020,370.72
RCP26,Albania,ALCWTCT3DD,cathcment,2021,394.65
RCP26,Albania,ALCWTCT3DD,cathcment,2022,605.99
RCP26,Albania,ALCWTCT3DD,cathcment,2023,530.13
RCP26,Albania,ALCWTCT3DD,cathcment,2024,378.67
RCP26,Albania,ALCWTCT3DD,cathcment,2025,382.04
RCP26,Albania,ALCWTCT3DD,cathcment,2026,1176.43
RCP26,Albania,ALCWTCT3DD,cathcment,2027,403.66
