scenario,country,tech,type,year,value
RCP26c,Albania,ALCWTCT1DD,cathcment,2020,840.02
RCP26c,Albania,ALCWTCT1DD,cathcment,2021,888.87
RCP26c,Albania,ALCWTCT1DD,cathcment,2022,807.67
RCP26c,Albania,ALCWTCT1DD,cathcment,2023,1102.18
RCP26c,Albania,ALCWTCT1DD,cathcment,2024,822.77
RCP26c,Albania,ALCWTCT1DD,cathcment,2025,707.61
RCP26c,Albania,ALCWTCT1DD,cathcment,2026,648.56
RCP26c,Albania,ALCWTCT1DD,cathcment,2027,1389.85
RCP26c,Albania,ALCWTCT1DD,cathcment,2028,838.41
RCP26c,Albania,ALCWTCT1DD,cathcment,2029,755.27
RCP26c,Albania,ALCWTCT1DD,cathcment,2030,849.82
RCP26c,Albania,ALCWTCT1DD,cathcment,2031,1183.27
RCP26c,Albania,ALCWTCT1DD,cathcment,2032,499.18
RCP26c,Albania,ALCWTCT1DD,cathcment,2033,769.69
RCP26c,Albania,ALCWTCT1DD,cathcment,2034,694.81
RCP26c,Albania,ALCWTCT1DD,cathcment,2035,1182.85
RCP26c,Albania,ALCWTCT1DD,cathcment,2036,990.28
RCP26c,Albania,ALCWTCT1DD,cathcment,2037,696.23
RCP26c,Albania,ALCWTCT1DD,cathcment,2038,572.78
RCP26c,Albania,ALCWTCT1DD,cathcment,2039,1283.93
RCP26c,Albania,ALCWTCT1DD,cathcment,2040,1326.01
RCP26c,Albania,ALCWTCT1DD,cathcment,2041,362.06
RCP26c,Albania,ALCWTCT1DD,cathcment,2042,868.65
RCP26c,Albania,ALCWTCT1DD,cathcment,2043,1153.86
RCP26c,Albania,ALCWTCT1DD,cathcment,2044,491.57
RCP26c,Albania,ALCWTCT1DD,cathcment,2045,586.18
RCP26c,Albania,ALCWTCT1DD,cathcment,2046,840.06
RCP26c,Albania,ALCWTCT1DD,cathcment,2047,992.91
RCP26c,Albania,ALCWTCT1DD,cathcment,2048,720.22
RCP26c,Albania,ALCWTCT1DD,cathcment,2049,423.68
RCP26c,Albania,ALCWTCT1DD,cathcment,2050,744.36
RCP26c,Albania,ALCWTCT2DD,cathcment,2020,959.42
RCP26c,Albania,ALCWTCT2DD,cathcment,2021,734.05
RCP26c,Albania,ALCWTCT2DD,cathcment,2022,736.79
RCP26c,Albania,ALCWTCT2DD,cathcment,2023,1188.96
RCP26c,Albania,ALCWTCT2DD,cathcment,2024,608.64
RCP26c,Albania,ALCWTCT2DD,cathcment,2025,451.64
RCP26c,Albania,ALCWTCT2DD,cathcment,2026,601.42
RCP26c,Albania,ALCWTCT2DD,cathcment,2027,1454.77
RCP26c,Albania,ALCWTCT2DD,cathcment,2028,353.76
RCP26c,Albania,ALCWTCT2DD,cathcment,2029,346.48
RCP26c,Albania,ALCWTCT2DD,cathcment,2030,769.96
RCP26c,Albania,ALCWTCT2DD,cathcment,2031,930.61
RCP26c,Albania,ALCWTCT2DD,cathcment,2032,403.66
RCP26c,Albania,ALCWTCT2DD,cathcment,2033,835.24
RCP26c,Albania,ALCWTCT2DD,cathcment,2034,610.93
RCP26c,Albania,ALCWTCT2DD,cathcment,2035,894.53
RCP26c,Albania,ALCWTCT2DD,cathcment,2036,849.99
RCP26c,Albania,ALCWTCT2DD,cathcment,2037,405.4
RCP26c,Albania,ALCWTCT2DD,cathcment,2038,1022.9
RCP26c,Albania,ALCWTCT2DD,cathcment,2039,804.85
RCP26c,Albania,ALCWTCT2DD,cathcment,2040,1137.33
RCP26c,Albania,ALCWTCT2DD,cathcment,2041,499.36
RCP26c,Albania,ALCWTCT2DD,cathcment,2042,740.37
RCP26c,Albania,ALCWTCT2DD,cathcment,2043,1018.44
RCP26c,Albania,ALCWTCT2DD,cathcment,2044,288.94
RCP26c,Albania,ALCWTCT2DD,cathcment,2045,584.33
RCP26c,Albania,ALCWTCT2DD,cathcment,2046,1014.94
RCP26c,Albania,ALCWTCT2DD,cathcment,2047,569.65
RCP26c,Albania,ALCWTCT2DD,cathcment,2048,351.28
RCP26c,Albania,ALCWTCT2DD,cathcment,2049,527.1
RCP26c,Albania,ALCWTCT2DD,cathcment,2050,833.17
RCP26c,Albania,ALCWTCT3DD,cathcment,2020,495.5
RCP26c,Albania,ALCWTCT3DD,cathcment,2021,387.46
RCP26c,Albania,ALCWTCT3DD,cathcment,2022,396.77
RCP26c,Albania,ALCWTCT3DD,cathcment,2023,609.47
RCP26c,Albania,ALCWTCT3DD,cathcment,2024,533.17
RCP26c,Albania,ALCWTCT3DD,cathcment,2025,380.9
RCP26c,Albania,ALCWTCT3DD,cathcment,2026,384.22
RCP26c,Albania,ALCWTCT3DD,cathcment,2027,1050.03
RCP26c,Albania,ALCWTCT3DD,cathcment,2028,405.84
RCP26c,Albania,ALCWTCT3DD,cathcment,2029,329.08
RCP26c,Albania,ALCWTCT3DD,cathcment,2030,774.88
RCP26c,Albania,ALCWTCT3DD,cathcment,2031,620.38
RCP26c,Albania,ALCWTCT3DD,cathcment,2032,351.47
RCP26c,Albania,ALCWTCT3DD,cathcment,2033,683.31
RCP26c,Albania,ALCWTCT3DD,cathcment,2034,384.47
RCP26c,Albania,ALCWTCT3DD,cathcment,2035,900.46
RCP26c,Albania,ALCWTCT3DD,cathcment,2036,547.91
RCP26c,Albania,ALCWTCT3DD,cathcment,2037,389.38
RCP26c,Albania,ALCWTCT3DD,cathcment,2038,469.12
RCP26c,Albania,ALCWTCT3DD,cathcment,2039,627.6
RCP26c,Albania,ALCWTCT3DD,cathcment,2040,1267.4
RCP26c,Albania,ALCWTCT3DD,cathcment,2041,421.5
RCP26c,Albania,ALCWTCT3DD,cathcment,2042,552.43
RCP26c,Albania,ALCWTCT3DD,cathcment,2043,701.84
RCP26c,Albania,ALCWTCT3DD,cathcment,2044,181.25
RCP26c,Albania,ALCWTCT3DD,cathcment,2045,540.4
RCP26c,Albania,ALCWTCT3DD,cathcment,2046,661.48
RCP26c,Albania,ALCWTCT3DD,cathcment,2047,530.7
RCP26c,Albania,ALCWTCT3DD,cathcment,2048,247.21
RCP26c,Albania,ALCWTCT3DD,cathcment,2049,365.09
RCP26c,Albania,ALCWTCT3DD,cathcment,2050,540.48
RCP26c,Albania,ALCWTCT4DD,cathcment,2020,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2021,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2022,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2023,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2024,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2025,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2026,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2027,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2028,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2029,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2030,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2031,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2032,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2033,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2034,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2035,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2036,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2037,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2038,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2039,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2040,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2041,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2042,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2043,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2044,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2045,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2046,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2047,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2048,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2049,790.4
RCP26c,Albania,ALCWTCT4DD,cathcment,2050,790.4
RCP26c,Albania,ALCWTRS1DD,river segment,2020,9326.82
RCP26c,Albania,ALCWTRS1DD,river segment,2021,5920.32
RCP26c,Albania,ALCWTRS1DD,river segment,2022,7274.98
RCP26c,Albania,ALCWTRS1DD,river segment,2023,7672.45
