,country,type,tech,OLD_REF,RCP26,RCP26b,RCP26c,RCP26d,RCP45,RCP85,REF,REF3_max,REFd,SKAVICA,RCP26-REF,% diff,RCP26b-REF,% diff2
0,Albania,cathcment,ALCWTCT1DD,1604.94,841.34,1204.94,888.87,888.87,511.16,677.36,1734.33,1724.19,1734.33,1734.33,-892.9899999999999,-51.48904764375868,-529.3899999999999,-30.52417936609526
1,Albania,cathcment,ALCWTCT2DD,1932.46,714.76,1436.42,734.05,734.05,471.02,853.13,899.88,899.52,899.88,899.88,-185.12,-20.571631773125308,536.5400000000001,59.62350535626973
2,Albania,cathcment,ALCWTCT3DD,589.42,394.65,897.35,387.46,387.46,381.98,476.66,1219.62,1216.6,1219.62,1219.62,-824.9699999999999,-67.64156048605304,-322.26999999999987,-26.423804135714395
3,Albania,cathcment,ALCWTCT4DD,790.4,790.4,790.4,790.4,790.4,790.4,790.4,790.4,790.4,790.4,790.4,0.0,0.0,0.0,0.0
4,Albania,river segment,ALCWTRS1DD,6741.35,7233.56,11159.01,5920.32,6043.47,5910.2,6976.6,8406.25,8425.27,8412.61,8406.25,-1172.6899999999996,-13.950215613382893,2752.76,32.746587360594795
5,Albania,river segment,ALCWTRS2DD,8886.68,7725.84,12766.32,7383.13,7396.62,6697.92,7794.2,9683.71,9694.41,9689.33,9658.5,-1957.869999999999,-20.218180841846763,3082.6100000000006,31.832944191843836
6,Albania,river segment,ALCWTRS3DD,9394.27,8124.3,13533.58,7770.59,7784.08,7300.3,8320.8,10912.11,10886.74,10907.01,10878.87,-2787.8100000000004,-25.54785463123081,2621.4699999999993,24.023493164933264
7,Albania,river segment,ALCWTRS4DD,10273.82,8914.7,14316.44,8560.99,8574.48,8315.7,9324.54,11702.51,11677.14,11697.41,11669.27,-2787.8099999999995,-23.822325296026232,2613.9300000000003,22.336490205947275
8,Albania,spillway,ALCWTSP4DD,120.0,120.0,120.0,1800.0,1800.0,1800.0,120.0,1800.0,1600.0,1800.0,1800.0,-1680.0,-93.33333333333333,-1680.0,-93.33333333333333
9,Albania,spillway,ALCWTSP5DD,120.0,120.0,120.0,800.0,800.0,800.0,120.0,800.0,500.0,800.0,800.0,-680.0,-85.0,-680.0,-85.0
10,Albania,spillway,ALCWTSP6DD,120.0,120.0,120.0,1500.0,1500.0,1500.0,120.0,1500.0,1100.0,1500.0,1500.0,-1380.0,-92.0,-1380.0,-92.0
11,Kosovo,river segment,XKCWTRS1WD,1656.66,2112.14,3283.94,1618.79,1618.79,1836.44,1749.91,1690.66,1677.93,1690.66,1690.66,421.4799999999998,24.929909029609725,1593.28,94.2401192433724
12,N.Macedonia,cathcment,MKCWTCT1BD,118.6,144.28,250.58,133.39,77.27,104.44,324.89,541.84,530.71,394.86,541.84,-397.56000000000006,-73.37221319946849,-291.26,-53.7538756828584
13,N.Macedonia,cathcment,MKCWTCT2BD,610.8,1205.4,1712.48,685.56,865.36,741.3,1192.88,902.28,894.83,1045.6,902.28,303.1200000000001,33.59489293789069,810.2,89.79474220862704
14,N.Macedonia,cathcment,MKCWTCT3DD,1960.19,2821.81,4638.66,2446.29,2446.29,2482.84,2930.41,3383.9,3378.96,3383.9,3383.9,-562.0900000000001,-16.61071544667396,1254.7599999999998,37.08029197080292
15,N.Macedonia,cathcment,MKCWTLK0BD,771.85,134.8,122.64,147.02,147.02,147.02,153.52,147.02,142.65,147.02,147.02,-12.219999999999999,-8.311794313698815,-24.38000000000001,-16.58277785335329
16,N.Macedonia,river segment,MKCWTRS1BD,890.45,279.08,373.22,280.42,224.3,251.47,478.41,688.86,673.36,541.88,688.86,-409.78000000000003,-59.486688151438614,-315.64,-45.82063118775949
17,N.Macedonia,river segment,MKCWTRS2BD,1501.24,1473.42,2074.63,965.98,1089.66,1003.82,1660.23,1591.14,1568.19,1587.48,1591.14,-117.72000000000003,-7.3984690222104925,483.49,30.386389632590465
18,N.Macedonia,river segment,MKCWTRS3DD,3479.75,4280.08,6670.12,3412.66,3535.81,3562.6,4549.34,4981.25,5023.15,4987.61,4981.25,-701.1700000000001,-14.076185696361357,1688.87,33.90454203262233
19,N.Macedonia,spillway,MKCWTSP1BD,120.0,120.0,120.0,,,,120.0,,,,,,,,
20,N.Macedonia,spillway,MKCWTSP2BD,120.0,120.0,120.0,80.0,80.0,80.0,120.0,80.0,,80.0,80.0,40.0,50.0,40.0,50.0
