scenario,country,tech,year,value
FP_COOP05,Albania,AL-Import,2021,2544.78
FP_COOP05,Albania,AL-Import,2022,2673.89
FP_COOP05,Albania,AL-Import,2023,2343.47
FP_COOP05,Albania,AL-Import,2024,2443.81
FP_COOP05,Albania,AL-Import,2025,1969.86
FP_COOP05,Albania,AL-Import,2026,2095.0
FP_COOP05,Albania,AL-Import,2027,2174.72
FP_COOP05,Albania,AL-Import,2028,2262.75
FP_COOP05,Albania,AL-Import,2029,2351.81
FP_COOP05,Albania,AL-Import,2030,2443.5
FP_COOP05,Albania,AL-Import,2031,2523.45
FP_COOP05,Albania,AL-Import,2032,2607.95
FP_COOP05,Albania,AL-Import,2033,2693.72
FP_COOP05,Albania,AL-Import,2034,2780.72
FP_COOP05,Albania,AL-Import,2035,2871.97
FP_COOP05,Albania,AL-Import,2036,2903.47
FP_COOP05,Albania,AL-Import,2037,2934.28
FP_COOP05,Albania,AL-Import,2038,2964.45
FP_COOP05,Albania,AL-Import,2039,2991.03
FP_COOP05,Albania,AL-Import,2040,3019.89
FP_COOP05,Albania,AL-Import,2041,3108.34
FP_COOP05,Albania,AL-Import,2042,3256.25
FP_COOP05,Albania,AL-Import,2043,3404.14
FP_COOP05,Albania,AL-Import,2044,3552.11
FP_COOP05,Albania,AL-Import,2045,3700.36
FP_COOP05,Albania,AL-Import,2046,3848.39
FP_COOP05,Albania,AL-Import,2047,3993.36
FP_COOP05,Albania,AL-Import,2048,4141.23
FP_COOP05,Albania,AL-Import,2049,4289.42
FP_COOP05,Albania,AL-Import,2050,4437.48
FP_COOP05,Albania,Fierza,2021,1812.17
FP_COOP05,Albania,Fierza,2022,1809.03
FP_COOP05,Albania,Fierza,2023,1809.03
FP_COOP05,Albania,Fierza,2024,1809.03
FP_COOP05,Albania,Fierza,2025,1809.03
FP_COOP05,Albania,Fierza,2026,1809.03
FP_COOP05,Albania,Fierza,2027,1809.03
FP_COOP05,Albania,Fierza,2028,1809.03
FP_COOP05,Albania,Fierza,2029,1809.03
FP_COOP05,Albania,Fierza,2030,1809.03
