scenario,country,tech,year,value
REF,Albania,AL-Import,2021,2575.61
REF,Albania,AL-Import,2022,2682.34
REF,Albania,AL-Import,2023,2518.09
REF,Albania,AL-Import,2024,2616.47
REF,Albania,AL-Import,2025,2694.61
REF,Albania,AL-Import,2026,2843.39
REF,Albania,AL-Import,2027,2664.53
REF,Albania,AL-Import,2028,2620.81
REF,Albania,AL-Import,2029,2709.86
REF,Albania,AL-Import,2030,2663.42
REF,Albania,AL-Import,2031,2743.39
REF,Albania,AL-Import,2032,2827.89
REF,Albania,AL-Import,2033,2913.67
REF,Albania,AL-Import,2034,3000.67
REF,Albania,AL-Import,2035,3091.92
REF,Albania,AL-Import,2036,3123.42
REF,Albania,AL-Import,2037,3154.22
REF,Albania,AL-Import,2038,3184.39
REF,Albania,AL-Import,2039,3210.97
REF,Albania,AL-Import,2040,3239.92
REF,Albania,AL-Import,2041,3328.17
REF,Albania,AL-Import,2042,3476.17
REF,Albania,AL-Import,2043,3624.2
REF,Albania,AL-Import,2044,3772.2
REF,Albania,AL-Import,2045,3920.2
REF,Albania,AL-Import,2046,4068.2
REF,Albania,AL-Import,2047,4213.31
REF,Albania,AL-Import,2048,4361.31
REF,Albania,AL-Import,2049,4509.31
REF,Albania,AL-Import,2050,4657.31
REF,Albania,Fierza,2021,1811.33
REF,Albania,Fierza,2022,1811.31
REF,Albania,Fierza,2023,1811.31
REF,Albania,Fierza,2024,1811.31
REF,Albania,Fierza,2025,1811.31
REF,Albania,Fierza,2026,1789.92
REF,Albania,Fierza,2027,1832.72
REF,Albania,Fierza,2028,1811.31
REF,Albania,Fierza,2029,1811.31
REF,Albania,Fierza,2030,1811.31
REF,Albania,Fierza,2031,1811.31
REF,Albania,Fierza,2032,1811.31
REF,Albania,Fierza,2033,1811.31
REF,Albania,Fierza,2034,1811.31
REF,Albania,Fierza,2035,1811.31
REF,Albania,Fierza,2036,1811.31
REF,Albania,Fierza,2037,1811.31
REF,Albania,Fierza,2038,1811.31
REF,Albania,Fierza,2039,1811.31
REF,Albania,Fierza,2040,1811.31
REF,Albania,Fierza,2041,1811.31
REF,Albania,Fierza,2042,1811.31
REF,Albania,Fierza,2043,1811.31
REF,Albania,Fierza,2044,1811.31
REF,Albania,Fierza,2045,1811.31
REF,Albania,Fierza,2046,1811.31
REF,Albania,Fierza,2047,1811.31
REF,Albania,Fierza,2048,1811.31
REF,Albania,Fierza,2049,1811.31
REF,Albania,Fierza,2050,1811.31
REF,Albania,Koman,2021,2058.45
REF,Albania,Koman,2022,2056.39
REF,Albania,Koman,2023,2056.39
REF,Albania,Koman,2024,2056.39
REF,Albania,Koman,2025,2056.39
REF,Albania,Koman,2026,2054.31
REF,Albania,Koman,2027,2058.47
REF,Albania,Koman,2028,2056.39
REF,Albania,Koman,2029,2056.39
REF,Albania,Koman,2030,2056.39
REF,Albania,Koman,2031,2056.39
REF,Albania,Koman,2032,2056.39
REF,Albania,Koman,2033,2056.39
REF,Albania,Koman,2034,2056.39
REF,Albania,Koman,2035,2056.39
REF,Albania,Koman,2036,2056.39
REF,Albania,Koman,2037,2056.39
REF,Albania,Koman,2038,2056.39
REF,Albania,Koman,2039,2056.39
REF,Albania,Koman,2040,2056.39
REF,Albania,Koman,2041,2056.39
REF,Albania,Koman,2042,2056.39
REF,Albania,Koman,2043,2056.39
REF,Albania,Koman,2044,2056.39
REF,Albania,Koman,2045,2056.39
REF,Albania,Koman,2046,2056.39
REF,Albania,Koman,2047,2056.39
REF,Albania,Koman,2048,2056.39
REF,Albania,Koman,2049,2056.39
REF,Albania,Koman,2050,2056.39
REF,Albania,Vaudejas,2021,1156.86
REF,Albania,Vaudejas,2022,1155.75
REF,Albania,Vaudejas,2023,1155.75
REF,Albania,Vaudejas,2024,1155.75
REF,Albania,Vaudejas,2025,1155.75
REF,Albania,Vaudejas,2026,1155.67
REF,Albania,Vaudejas,2027,1155.86
REF,Albania,Vaudejas,2028,1155.75
REF,Albania,Vaudejas,2029,1155.75
REF,Albania,Vaudejas,2030,1155.75
REF,Albania,Vaudejas,2031,1155.75
REF,Albania,Vaudejas,2032,1155.75
REF,Albania,Vaudejas,2033,1155.75
REF,Albania,Vaudejas,2034,1155.75
REF,Albania,Vaudejas,2035,1155.75
REF,Albania,Vaudejas,2036,1155.75
REF,Albania,Vaudejas,2037,1155.75
REF,Albania,Vaudejas,2038,1155.75
REF,Albania,Vaudejas,2039,1155.75
REF,Albania,Vaudejas,2040,1155.75
REF,Albania,Vaudejas,2041,1155.75
REF,Albania,Vaudejas,2042,1155.75
REF,Albania,Vaudejas,2043,1155.75
REF,Albania,Vaudejas,2044,1155.75
REF,Albania,Vaudejas,2045,1155.75
REF,Albania,Vaudejas,2046,1155.75
REF,Albania,Vaudejas,2047,1155.75
REF,Albania,Vaudejas,2048,1155.75
REF,Albania,Vaudejas,2049,1155.75
REF,Albania,Vaudejas,2050,1155.75
REF,N.Macedonia,Globocica,2021,160.81
REF,N.Macedonia,Globocica,2022,160.81
REF,N.Macedonia,Globocica,2023,160.81
REF,N.Macedonia,Globocica,2024,160.81
REF,N.Macedonia,Globocica,2025,160.81
REF,N.Macedonia,Globocica,2026,158.22
REF,N.Macedonia,Globocica,2027,163.39
REF,N.Macedonia,Globocica,2028,160.81
REF,N.Macedonia,Globocica,2029,160.81
REF,N.Macedonia,Globocica,2030,160.81
REF,N.Macedonia,Globocica,2031,160.81
REF,N.Macedonia,Globocica,2032,160.81
REF,N.Macedonia,Globocica,2033,160.81
REF,N.Macedonia,Globocica,2034,160.81
REF,N.Macedonia,Globocica,2035,160.81
REF,N.Macedonia,Globocica,2036,160.81
REF,N.Macedonia,Globocica,2037,160.81
REF,N.Macedonia,Globocica,2038,160.81
REF,N.Macedonia,Globocica,2039,160.81
REF,N.Macedonia,Globocica,2040,160.81
REF,N.Macedonia,Globocica,2041,160.81
REF,N.Macedonia,Globocica,2042,160.81
REF,N.Macedonia,Globocica,2043,160.81
REF,N.Macedonia,Globocica,2044,160.81
REF,N.Macedonia,Globocica,2045,160.81
REF,N.Macedonia,Globocica,2046,160.81
REF,N.Macedonia,Globocica,2047,160.81
REF,N.Macedonia,Globocica,2048,160.81
REF,N.Macedonia,Globocica,2049,160.81
REF,N.Macedonia,Globocica,2050,160.81
REF,N.Macedonia,MK-Import,2021,1842.08
REF,N.Macedonia,MK-Import,2022,1865.64
REF,N.Macedonia,MK-Import,2023,1892.08
REF,N.Macedonia,MK-Import,2024,1918.25
REF,N.Macedonia,MK-Import,2025,2817.11
REF,N.Macedonia,MK-Import,2026,3779.23
REF,N.Macedonia,MK-Import,2027,5213.89
REF,N.Macedonia,MK-Import,2028,4853.95
REF,N.Macedonia,MK-Import,2029,4654.2
REF,N.Macedonia,MK-Import,2030,4382.61
REF,N.Macedonia,MK-Import,2031,4091.73
REF,N.Macedonia,MK-Import,2032,3799.84
REF,N.Macedonia,MK-Import,2033,3754.0
REF,N.Macedonia,MK-Import,2034,3845.23
