scenario,country,tech,year,value
SKAVICA,Albania,AL-Import,2021,2587.17
SKAVICA,Albania,AL-Import,2022,2691.0
SKAVICA,Albania,AL-Import,2023,2363.67
SKAVICA,Albania,AL-Import,2024,2406.09
SKAVICA,Albania,AL-Import,2025,2094.75
SKAVICA,Albania,AL-Import,2026,2644.34
SKAVICA,Albania,AL-Import,2027,2796.39
SKAVICA,Albania,AL-Import,2028,2848.0
SKAVICA,Albania,AL-Import,2029,2910.22
SKAVICA,Albania,AL-Import,2030,3001.89
SKAVICA,Albania,AL-Import,2031,3081.86
SKAVICA,Albania,AL-Import,2032,3166.36
SKAVICA,Albania,AL-Import,2033,3252.14
SKAVICA,Albania,AL-Import,2034,3339.14
SKAVICA,Albania,AL-Import,2035,3430.39
SKAVICA,Albania,AL-Import,2036,3461.89
SKAVICA,Albania,AL-Import,2037,3492.7
SKAVICA,Albania,AL-Import,2038,3522.86
SKAVICA,Albania,AL-Import,2039,3549.45
SKAVICA,Albania,AL-Import,2040,3578.39
SKAVICA,Albania,AL-Import,2041,3666.64
SKAVICA,Albania,AL-Import,2042,3814.64
SKAVICA,Albania,AL-Import,2043,3962.67
SKAVICA,Albania,AL-Import,2044,4110.67
SKAVICA,Albania,AL-Import,2045,4258.67
SKAVICA,Albania,AL-Import,2046,4406.67
SKAVICA,Albania,AL-Import,2047,4551.78
SKAVICA,Albania,AL-Import,2048,4699.78
SKAVICA,Albania,AL-Import,2049,4847.78
SKAVICA,Albania,AL-Import,2050,4995.78
SKAVICA,Albania,Fierza,2021,1811.58
SKAVICA,Albania,Fierza,2022,1811.56
SKAVICA,Albania,Fierza,2023,1811.56
SKAVICA,Albania,Fierza,2024,1811.53
SKAVICA,Albania,Fierza,2025,1764.47
SKAVICA,Albania,Fierza,2026,1598.14
SKAVICA,Albania,Fierza,2027,1555.81
SKAVICA,Albania,Fierza,2028,1570.97
SKAVICA,Albania,Fierza,2029,1582.33
SKAVICA,Albania,Fierza,2030,1582.33
SKAVICA,Albania,Fierza,2031,1582.33
SKAVICA,Albania,Fierza,2032,1582.33
SKAVICA,Albania,Fierza,2033,1582.33
SKAVICA,Albania,Fierza,2034,1582.33
SKAVICA,Albania,Fierza,2035,1582.33
SKAVICA,Albania,Fierza,2036,1582.33
SKAVICA,Albania,Fierza,2037,1582.33
SKAVICA,Albania,Fierza,2038,1582.33
SKAVICA,Albania,Fierza,2039,1582.33
SKAVICA,Albania,Fierza,2040,1582.33
SKAVICA,Albania,Fierza,2041,1582.33
SKAVICA,Albania,Fierza,2042,1582.33
SKAVICA,Albania,Fierza,2043,1582.33
SKAVICA,Albania,Fierza,2044,1582.33
SKAVICA,Albania,Fierza,2045,1582.33
SKAVICA,Albania,Fierza,2046,1582.33
SKAVICA,Albania,Fierza,2047,1582.33
SKAVICA,Albania,Fierza,2048,1582.33
SKAVICA,Albania,Fierza,2049,1582.33
SKAVICA,Albania,Fierza,2050,1582.33
SKAVICA,Albania,Koman,2021,2050.75
SKAVICA,Albania,Koman,2022,2050.58
SKAVICA,Albania,Koman,2023,2048.58
SKAVICA,Albania,Koman,2024,2069.72
SKAVICA,Albania,Koman,2025,2008.7
SKAVICA,Albania,Koman,2026,1860.81
SKAVICA,Albania,Koman,2027,1823.17
SKAVICA,Albania,Koman,2028,1836.64
SKAVICA,Albania,Koman,2029,1846.75
SKAVICA,Albania,Koman,2030,1846.75
SKAVICA,Albania,Koman,2031,1846.75
SKAVICA,Albania,Koman,2032,1846.75
SKAVICA,Albania,Koman,2033,1846.75
SKAVICA,Albania,Koman,2034,1846.75
SKAVICA,Albania,Koman,2035,1846.75
SKAVICA,Albania,Koman,2036,1846.75
SKAVICA,Albania,Koman,2037,1846.75
SKAVICA,Albania,Koman,2038,1846.75
SKAVICA,Albania,Koman,2039,1846.75
SKAVICA,Albania,Koman,2040,1846.75
SKAVICA,Albania,Koman,2041,1846.75
SKAVICA,Albania,Koman,2042,1846.75
SKAVICA,Albania,Koman,2043,1846.75
SKAVICA,Albania,Koman,2044,1846.75
SKAVICA,Albania,Koman,2045,1846.75
SKAVICA,Albania,Koman,2046,1846.75
